"product","market","window","dimension","value","evidence_label","notes","source_url"
"Gossip Harbor","US","2026-07-20→08-19","AdMapix creative entries","15 entries / 14 distinct videos","SOURCE/EXTERNAL","Rolling 30d; 6.382B estimated impressions","https://www.admapix.com/blog/ad-intelligence/gossip-harbor-ad-strategy-2026"
"Gossip Harbor","US","2026-07-20→08-19","Top creative concentration","70.5% measured delivery from one 25s file","SOURCE/EXTERNAL","Same file under two entries; 398d age","https://www.admapix.com/blog/ad-intelligence/gossip-harbor-ad-strategy-2026"
"Gossip Harbor","US","2026-07-20→08-19","Creative longevity","7/15 entries >180d; 6 >270d","SOURCE/EXTERNAL","First-seen dates are window-independent","https://www.admapix.com/blog/ad-intelligence/gossip-harbor-ad-strategy-2026"
"Gossip Harbor","Multi-market coverage","2026-06-28→07-27","New creatives / campaign records","2,029 / 2,779","SOURCE/EXTERNAL","Campaign records are not spend","https://www.creativescope.ai/blog/gossip-harbor-ua-teardown-drama-before-gameplay"
"Gossip Harbor","Multi-market coverage","30d within tracked 180d","30d share of 180d creative pool / impressions","31.9% / 53.6%","SOURCE/EXTERNAL","Vendor methodology-specific","https://www.creativescope.ai/blog/gossip-harbor-ua-teardown-drama-before-gameplay"
"Gossip Harbor","Category","2026-06-03→09-01","90-day category study","90d window across 3 titles / 48 showcased creatives","SOURCE/EXTERNAL","AppGrowing methodology differs; do not stitch vendors","https://page.youcloud.com/s/7N3B84p/"
"Township","US","rolling 30d to 2026-08-19","Creative fleet","30 rows / 29 live","SOURCE/EXTERNAL","AdMapix estimates","https://www.admapix.com/blog/ad-intelligence/township-ad-strategy-2026"
"Township","US","rolling 30d to 2026-08-19","Top creative","564,388,105 est. impressions; 446d old","SOURCE/EXTERNAL","Not spend","https://www.admapix.com/blog/ad-intelligence/township-ad-strategy-2026"
"Township","US","as of 2026-08-19","Oldest active creative","910 days","SOURCE/EXTERNAL","Longevity only","https://www.admapix.com/blog/ad-intelligence/township-ad-strategy-2026"
"The Cozy Florist","App Store coverage","2026-08-17→09-16","Creatives / ad plans / reuse","2,291 / 6,939 / 48.7%","SOURCE/EXTERNAL","Vendor reuse flag","https://www.creativescope.ai/blog/the-cozy-florist-ads-breakdown"
"The Cozy Florist","App Store coverage","2026-08-17→09-16","FB / IG / AdMob / AppLovin / YT / TikTok","93.98% / 93.98% / 4.94% / 0.85% / 0.50% / 0.23%","SOURCE/EXTERNAL","Overlapping coverage, not spend","https://www.creativescope.ai/blog/the-cozy-florist-ads-breakdown"
"Heartopia","iOS+Google Play","2026-06-22→07-20","Creatives / campaign records / est. impressions","1,378 / 2,807 / 505M","SOURCE/EXTERNAL","Relative scale only","https://www.creativescope.ai/blog/heartopia-s-cozy-creative-system"
"Heartopia","iOS/Android coverage","2026-06-22→07-20","Meta-family coverage","~74.6% / ~74.8%","SOURCE/EXTERNAL","Coverage ≠ spend share","https://www.creativescope.ai/blog/heartopia-s-cozy-creative-system"
