product,frame_id,store_frame_role,source_description,visual_read,product_promise,production_read,risk,evidence_label,source
Hay Day,HD-01,Countryside Charm,"Distinctive farm animals + idyllic rolling farm landscape","Isometric stylized farm; animal silhouettes carry brand recognition","Peaceful owned farm / rural escape","Durable modular farm world; mascot/animal art amortizes over long life","Copying caricature style instead of the readability principle","SOURCE DESCRIPTION / CURRENT STORE","https://mwm.ai/apps/hay-day/506627515"
Hay Day,HD-02,Cultivate Your Farm,"Crops + animals shown inside a personalized farm layout","Production objects are readable as functional stations inside owned space","Plant / harvest / raise / expand","High reuse from crop plots, machines, animal pens","World can become visually dense at mature scale","SOURCE DESCRIPTION / CURRENT STORE","https://mwm.ai/apps/hay-day/506627515"
Hay Day,HD-03,Marketplace Mastery,"Roadside shop and farm-fresh goods trading","Store/commerce surface stays grounded in the farm fantasy","Trade what you produce","UI-heavy commerce can sit on top of calm world presentation","Overloading D0 with commerce/social before crop loop is learned","SOURCE DESCRIPTION / CURRENT STORE","https://mwm.ai/apps/hay-day/506627515"
Hay Day,HD-04,Personalize / Community,"Decoration + visiting other farms / shared community experience","Customization is shown as player-authored identity, not a separate visual mode","My farm / my layout / my community","Decoration catalog is heavy but modular","Mature catalog breadth is not an MVP benchmark","SOURCE DESCRIPTION / CURRENT STORE","https://mwm.ai/apps/hay-day/506627515"
Township,TS-01,Harvest Crops,"Harvest strawberries/asparagus with tap-and-collect","Bright isometric world; crop interaction remains visually legible","Farm work is still a visible part of the city fantasy","Reusable field/crop animation","Farm promise can be diluted by later side engines","SOURCE DESCRIPTION / CURRENT STORE","https://mwm.ai/apps/township/638689075"
Township,TS-02,City Planning Hub,"Dense city with varied buildings and river","Owned town is the persistent visual anchor across mature systems","Build and grow a city","Very heavy mature environment library; strong modular reuse","Not feasible as first-studio content breadth","SOURCE DESCRIPTION / CURRENT STORE","https://mwm.ai/apps/township/638689075"
Township,TS-03,Market / Delivery,"Market stall and delivery surfaces in a populated city","Economy actions are embedded in the owned world rather than abstract menus only","Produce → deliver → grow town","Existing city props/vehicles multiply system presentation","UI/system density can hide the core identity","SOURCE DESCRIPTION / CURRENT STORE","https://mwm.ai/apps/township/638689075"
Township,TS-04,Problem-solving Challenge,"Sheep blocking railway with hammer interaction","Store screenshot set includes a problem/choice scene beyond the farm/city core","Variety / mini-challenge","Low incremental visual cost if built on reused world assets","Store can over-index side-game promise versus primary ownership loop","SOURCE DESCRIPTION / CURRENT STORE","https://mwm.ai/apps/township/638689075"
Gossip Harbor,GH-01,Help the Family / Chaos,"Quinn/family shown in a damaged room with emotional crisis","Illustrated character drama dominates the store opening","Drama + rescue + restoration","Heavy narrative illustration; recurring-cast reuse","Core merge board may be delayed too far in promise hierarchy","SOURCE DESCRIPTION / CURRENT STORE","https://mwm.ai/es/apps/gossip-harbor-merge-story/1623318294"
Gossip Harbor,GH-02,Before / After Restoration,"Destroyed room contrasted with restored cozy room","High-contrast transformation creates immediate ownership payoff","Fix the life / fix the space","State variants reuse the same room shell","Must reach restoration quickly after install to avoid promise gap","SOURCE DESCRIPTION / CURRENT STORE","https://mwm.ai/es/apps/gossip-harbor-merge-story/1623318294"
Gossip Harbor,GH-03,Merge Mechanics,"Food/ingredient merge board highlighted with lobster chain","Core board is visually dense but item silhouettes are distinct","Merge food to progress","2D item pipeline scales through chains and event reskins","Board can feel like a utility layer if story owns all emotional value","SOURCE DESCRIPTION / CURRENT STORE","https://mwm.ai/es/apps/gossip-harbor-merge-story/1623318294"
Gossip Harbor,GH-04,Decoration Choice,"Restaurant/kitchen with furniture choice and recurring cast","Core resources cash out into authored world change and character scenes","Merge → renovate → story","Narrative/decor art burden is high","Weekly bespoke narrative art is expensive for a lean team","SOURCE DESCRIPTION / CURRENT STORE","https://mwm.ai/es/apps/gossip-harbor-merge-story/1623318294"
Heartopia,HT-01,Cozy Town Life,"Tea party / celebration with avatars and social atmosphere","Third-person lifestyle scene; avatar is foreground identity anchor","Live a cozy social life","High character/animation/social-state burden","Social spectacle can mask persistent multiplayer cost","SOURCE DESCRIPTION / CURRENT STORE","https://mwm.ai/apps/heartopia/6746151928"
Heartopia,HT-02,Creative Home Design,"Avatars actively building a house with tools / structure in progress","Construction is embodied world interaction rather than menu-only decor","Build my dream home","High building-piece + placement + save-state burden","Not an MVP art/engineering scope benchmark","SOURCE DESCRIPTION / CURRENT STORE","https://mwm.ai/apps/heartopia/6746151928"
Heartopia,HT-03,Hobby Exploration,"Characters gardening / cultivating strawberry fields","Hobbies are direct embodied activities in the shared world","Fish / garden / cook / explore","Multiple hobby-specific animation/tool/content pipelines","Six-hobby breadth multiplies QA/content costs","SOURCE DESCRIPTION / CURRENT STORE","https://mwm.ai/apps/heartopia/6746151928"
Heartopia,HT-04,Fashion / Social Identity,"Outfit showcase plus group social/photo scenes","Fashion and photo-readability are core retention/UGC surfaces","Express identity with others","Large outfit catalog + avatar compatibility + camera/social systems","Do not copy catalog breadth before ownership loop proves retention","SOURCE DESCRIPTION / CURRENT STORE","https://mwm.ai/apps/heartopia/6746151928"
