product,market_scope,date_or_version,release_surface,observed_detail,qa_or_ops_burden,evidence_label,source
Heartopia,Global-secondary,2026-09-23 maintenance,Licensed event + economy,"White Snake Sep30-Oct26; free umbrella; Lingzhi via requests/quests or Heart Diamonds; Premium tier; exchange store to Nov2","Event currency, premium tier, exchange deadline, quest/request integration, licensed approvals",FIRST-PARTY / CURRENT,https://steamcommunity.com/app/4025700/announcements/
Heartopia,Global-secondary,2026-09-23 maintenance,Social progression,"7-day face-to-face friend check-in; separate tracking per friend; Friend Level cap 10→15; 10 new 2-person actions","Per-friend state, social sync, reward persistence, interaction QA",FIRST-PARTY / CURRENT,https://steamcommunity.com/app/4025700/announcements/
Heartopia,Global-secondary,2026-09-23 maintenance,Mid-Autumn social/content,"Sep25-Oct12; check-ins; event store; 5 ready-made lantern types + Lotus recipe; public blessing messages; last-10 lantern list","UGC text/state, public visibility, timed store, recipe/item data, moderation/sync burden",FIRST-PARTY / CURRENT,https://steamcommunity.com/app/4025700/announcements/
Heartopia,Global-secondary,2026-09-23 maintenance,Exhibition/gacha,"Starspell Voyager Sep26-Nov28; Cat Witch, Owl Messenger, Platform; ticket stubs; variant-color exchange; Full Collection Rewards","Three exhibition pools, exchange currency, collection completion logic, item variants",FIRST-PARTY / CURRENT,https://steamcommunity.com/app/4025700/announcements/
Heartopia,Global-secondary,2026-09-23 maintenance,Build system,"Ignore Overlap + Floating Placement; 3D grid snap; free placement/rotation","Placement collision/state, precision controls, home-save compatibility",FIRST-PARTY / CURRENT,https://steamcommunity.com/app/4025700/announcements/
Heartopia,Global-secondary,2026-09-23 maintenance,Stores / interactive furniture / record store,"New display furniture; Scheduled Master Panel + Elevator research; workwear/handhelds; record store","Multiple catalogs, research recipes, display slots, rotating inventory, licensing/catalog migration",FIRST-PARTY / CURRENT,https://steamcommunity.com/app/4025700/announcements/
Heartopia,Global-secondary,2026-09-23 maintenance,Hot Air Balloon,"Viewing Mode; two balloons simultaneously; UI optimization","Multiplayer concurrency, camera/UI state, weather/event launch state",FIRST-PARTY / CURRENT,https://steamcommunity.com/app/4025700/announcements/
Heartopia,Global-secondary,2026-09-23 maintenance,Bug-fix load,"17 numbered bug fixes across camera/social/build/collection/pets/VFX/quests/UI/localization","Broad regression matrix across social, building, event, pet, quest and localization systems",CALCULATED FROM FIRST-PARTY LIST,https://steamcommunity.com/app/4025700/announcements/
Heartopia,Global-secondary,2026-09-24 flash update,Immediate hotfix,"Hot Air Balloon display/launch issue fixed one day after maintenance; compensation Gold×8,000 + Wishing Star×5","Same-week hotfix + compensation pipeline",FIRST-PARTY / CURRENT,https://steamcommunity.com/app/4025700/announcements/
Township,US/Global,v39.0.3 / 2026-09-16,Multi-track content train,"Western Pass + Halloween Pass; 2 narrative adventures; Bermuda + Hudson regatta seasons; Stained Glass match-3 element; Coworking Space + Ancient House","At least 9 named content elements in one update family across pass/story/regatta/match/building systems",SOURCE / CURRENT VERSION,https://www.apkmirror.com/apk/playrix/township/township-39-0-3-release/
Office Cat,US/Global,v1.0.80 / 2026-09-04,Area + monetization + state fixes,"City 7 Halloween city; Payment Challenge; data-saving fix; seasonal-ranking reset fix","New-area data + payment challenge + persistence/ranking regression in same train",SOURCE / CURRENT VERSION,https://office-cat-tycoon-idle-games-ios.soft112.com/
Office Cat,US/Global,v1.0.77 / 2026-07-15,Reusable event/ranking surfaces,"Cat Day one-week event; Daily Rankings for Farm/Aquafarm; bug fixes","Reusable event engine + ranking reset/state QA",SOURCE / VERSION HISTORY,https://office-cat-tycoon-idle-games-ios.soft112.com/
Gossip Harbor,US/Global,v3.98.5 / 2026-09-17,Narrative + event train,"New episode every Friday + celestial mystery event","Narrower repeated release grammar: weekly narrative plus rotating event",SOURCE / CURRENT VERSION,https://gossip-harbor-merge-story-ios.soft112.com/
The Cozy Florist,US/Global,v1.0.79 / 2026-09-20,Fast maintenance train,"Current Google Play version 1.0.79; recent 1.0.78 describes minor bug fixes/improvements","High client-release frequency with low-specificity public notes",SOURCE / CURRENT VERSION,https://foxdata.com/en/app-marketing-analytics/com.riftsky.mhg.gb.gp/gp/US/the-cozy-florist/
