product,market,platform_scope,period,metric,value,evidence_label,source_url,limitation
Gossip Harbor,US,Unified,Q4 2025 final week,Weekly downloads,~247K,SOURCE/EXTERNAL/US-DATED,https://sensortower.com/blog/2025-q4-unified-top-5-drama-games-revenue-us-602160ea241bc16eb8940bf3,"Not current Sep-2026 monthly"
Gossip Harbor,US,Unified,Q4 2025 final week,Weekly IAP revenue,~$8.2M,SOURCE/EXTERNAL/US-DATED,https://sensortower.com/blog/2025-q4-unified-top-5-drama-games-revenue-us-602160ea241bc16eb8940bf3,"Not current Sep-2026 monthly"
Gossip Harbor,US,Unified,Q4 2025 final week,Active users,>1.2M,SOURCE/EXTERNAL/US-DATED,https://sensortower.com/blog/2025-q4-unified-top-5-drama-games-revenue-us-602160ea241bc16eb8940bf3,"Active users != DAU"
Township,US,Unified,Q4 2025 final week,Weekly downloads,~368K,SOURCE/EXTERNAL/US-DATED,https://sensortower.com/blog/2025-q4-unified-top-5-tycoon-games-units-us-602ae798241bc16eb86ec5ed,"Not current Sep-2026 monthly"
Township,US,Unified,Q4 2025 final week,Weekly IAP revenue,~$6.2M,SOURCE/EXTERNAL/US-DATED,https://sensortower.com/blog/2025-q4-unified-top-5-tycoon-games-units-us-602ae798241bc16eb86ec5ed,"Not current Sep-2026 monthly"
Township,US,Unified,Q4 2025 final week,Active users,~2.2M,SOURCE/EXTERNAL/US-DATED,https://sensortower.com/blog/2025-q4-unified-top-5-tycoon-games-units-us-602ae798241bc16eb86ec5ed,"Quarter started ~2.7M; active users != DAU"
Hay Day,US,Unified,Q4 2025 final week,Weekly downloads,peak 53.9K,SOURCE/EXTERNAL/US-DATED,https://sensortower.com/blog/2025-q4-unified-top-5-tycoon-games-units-us-602ae798241bc16eb86ec5ed,"Peak weekly downloads; not current Sep-2026 monthly"
Hay Day,US,Unified,Q4 2025 final week,Weekly IAP revenue,~$1.4M,SOURCE/EXTERNAL/US-DATED,https://sensortower.com/blog/2025-q4-unified-top-5-tycoon-games-units-us-602ae798241bc16eb86ec5ed,"Early-Dec peak ~1.6M"
Hay Day,US,Unified,Q4 2025 final week,Active users,~1.5M,SOURCE/EXTERNAL/US-DATED,https://sensortower.com/blog/2025-q4-unified-top-5-tycoon-games-units-us-602ae798241bc16eb86ec5ed,"Quarter started ~1.3M; active users != DAU"
My Perfect Hotel,US,Unified,Q4 2025 final week,Weekly downloads,>152K,SOURCE/EXTERNAL/US-DATED,https://sensortower.com/blog/2025-q4-unified-top-5-business-games-units-us-6023dfa3241bc16eb8392c45,"Quarter started ~58K"
My Perfect Hotel,US,Unified,Q4 2025 final week,Weekly IAP revenue,~$56K,SOURCE/EXTERNAL/US-DATED,https://sensortower.com/blog/2025-q4-unified-top-5-business-games-units-us-6023dfa3241bc16eb8392c45,"Not current Sep-2026 monthly"
My Perfect Hotel,US,Unified,Q4 2025 final week,Active users,>613K,SOURCE/EXTERNAL/US-DATED,https://sensortower.com/blog/2025-q4-unified-top-5-business-games-units-us-6023dfa3241bc16eb8392c45,"Active users != DAU"
Office Cat,US,Unified,Q3 2025 final week,Weekly downloads,~11.3K,SOURCE/EXTERNAL/US-DATED,https://sensortower.com/blog/2025-q3-unified-top-5-cat%20games-revenue-us-608810b928293296047965a0,"Not current Sep-2026 monthly"
Office Cat,US,Unified,Q3 2025 final week,Weekly IAP revenue,~$40.9K,SOURCE/EXTERNAL/US-DATED,https://sensortower.com/blog/2025-q3-unified-top-5-cat%20games-revenue-us-608810b928293296047965a0,"Not current Sep-2026 monthly"
Office Cat,US,Unified,Q3 2025 final week,Active users,~96.2K,SOURCE/EXTERNAL/US-DATED,https://sensortower.com/blog/2025-q3-unified-top-5-cat%20games-revenue-us-608810b928293296047965a0,"Quarter started ~139.5K; active users != DAU"
