Game,Market,Actual_Event_Title,Event_Family,Start,End,Core_Meta_Side,Core_Mechanic,Monetization,Social_CRM,Reuse_Engine,Primary_KPI,Evidence_Status,Source,Gap
Big Farm Homestead,US / Global-secondary,Friends & Family Photo Album,Collection / Memory Album,2026-08-31,TBD,Meta/LiveOps,Collect polaroids / complete character sets,Collection rewards / grand prize,Weekly social voucher support,Collection engine,Collection Completion / Claim→Return,FIRST-PARTY BLOG + CURRENT US STORE,Big Farm official blog + US App Store,Drop/duplicate economy and participation TBD
Big Farm Homestead,Global / US-relevant,Fireworks Festival,Anniversary / Collection,2026-08 visible,TBD,Side/LiveOps,Collect Firework boxes around Homestead,Event rewards / anniversary gift,Anniversary community,World collection wrapper,Entry / Completion / Return,US APP STORE VERSION HISTORY,US App Store version history,Exact dates/participation TBD
Big Farm Homestead,Global / US-relevant,1st Anniversary Season Pass,Season Pass,2026-08,2026-08,Meta/Monetization,Pass progression,Seasonal pass rewards,Anniversary theme,Pass engine,Pass Entry / Completion / Revenue,US APP STORE VERSION HISTORY,US App Store version history,Price/conversion TBD
Big Farm Homestead,Global / US-relevant,Crab Control,Resource Collection / Exchange,2026-06/07 visible,14 days,Side/LiveOps,Collect crabs → shelter → event coins,Event coins / rewards,Lake story,Collect-deliver-exchange engine,Entry / Completion / Currency Spend,US APP STORE VERSION HISTORY,US App Store version history,Participation/event economics TBD
Big Farm Homestead,Global / US-relevant,Vacation Vibes Festival,Season Pass,2026-07,4 weeks,Meta/Monetization,Festival tasks → pass,Exclusive rewards,N/A,Pass engine,Pass Entry / Completion,US APP STORE VERSION HISTORY,US App Store version history,Conversion TBD
Big Farm Homestead,Global / US-relevant,Claire's Picnic,Production / Order Event,2026-05 and 2026-07 variants,7 days,Side/LiveOps,Produce event recipes → picnic orders → milestones,Profile picture / cart / rewards,Character story,Production-order engine,Order Completion / Milestone Reach,FIRST-PARTY BLOG + VERSION HISTORY,Big Farm official blog + US App Store,Participation/pre-post impact TBD
Big Farm Homestead,Global / US-relevant,County Fair Collection,Collection,2026-06/07 visible,TBD,Meta/LiveOps,Collect polaroids → scrapbook,Collection rewards,N/A,Collection engine,Collection Completion,US APP STORE VERSION HISTORY,US App Store version history,Drop/duplicate mechanics TBD
Big Farm Homestead,Global / US-relevant,Stars & Lights Season Pass,Season Pass,2026-06-22,4 weeks/TBD,Meta/Monetization,Tasks → season progression,Exclusive rewards,Pride/fireworks theme,Pass engine,Pass Entry / Completion,FIRST-PARTY BLOG + VERSION HISTORY,Big Farm official blog + US App Store,Conversion TBD
Big Farm Homestead,Global / US-relevant,Summer Breeze Pass,Season Pass,2026-04-27,4 weeks/TBD,Meta/Monetization,Challenges → pass progression,Exclusive rewards,N/A,Pass engine,Pass Entry / Completion,FIRST-PARTY BLOG,Big Farm official blog,Conversion TBD
Big Farm Homestead,Global / US-relevant,Heart of the Herd,Returning Event,Multiple 2026 cycles,~7 days per visible cycle,Side/LiveOps,Horse-focused event progression,Themed rewards,Community-returning event,Reusable event wrapper,Entry / Completion / Return,FIRST-PARTY BLOG + VERSION HISTORY,Big Farm official blog + US App Store,Exact mechanics/participation TBD
Big Farm Homestead,Global / US-relevant,Holiday Heist,Seasonal Narrative Event,2025-12-15,2025-12-29,Side/LiveOps,Find scattered gifts / raccoon story,Raccoon profile picture + decoration,Holiday narrative,Seasonal narrative wrapper,Entry / Completion,FIRST-PARTY BLOG,Big Farm official blog,Production cost/participation TBD
