layer,scope,unlock_or_window,mechanic,evidence_label,source,product_read,gap
"Core garden/shop","US / Global","Immediate product promise","Grow flowers → manage garden/shop → collect/decorate → socialize","SOURCE / CURRENT STORE","https://apps.apple.com/us/app/the-cozy-florist/id6754878717","Core promise is readable and ownership-centric","Exact first-session action timing TBD"
"Boutique / outfits","Global-secondary","Florist Level 10","Boutique + outfit collection + Cloud Cloth cosmetics","CURRENT GUIDE / LEVEL GATE","https://grindnstrat.com/how-to-change-outfits-in-the-cozy-florist/","Identity meta enters after core garden/shop grammar","Exact time/day-to-level 10 TBD"
"Flower Advancement","Global-secondary","Florist Level 31 + flower Level 10","Attribute optimization / Prime Dew / deeper flower efficiency","CURRENT GUIDE / LATE GATE","https://clashiverse.com/the-cozy-florist-flower-advancement-alchemy-guide/","Deep optimization is late-game rather than FTUE burden","Direct in-game validation and live values TBD"
"Astral weekly bonus","Global-secondary","Weekly rotation","3 featured Astrals receive double rewards","CURRENT GUIDE / RECURRING META","https://grindnstrat.com/the-cozy-florist-astrals-guide/","Low-asset recurring optimization loop","Exact reward economics/participation TBD"
"Astral friend help","Global-secondary","5 friend helps","Temporary growth boost after social assistance","CURRENT GUIDE / SOCIAL META","https://grindnstrat.com/the-cozy-florist-astrals-guide/","Social interaction has direct production/economy utility","Exact boost duration/value TBD"
"Game Story Series","US","2026-08-31→2026-09-20","Story content layered on flower fantasy","SOURCE / RECENT US STORE EVENT","https://appshunter.io/ios/app/the-cozy-florist/id6754878717","Narrative expansion broadens retention surface without replacing core","Entry/completion/production cost TBD"
"Dragon Chant","Global-secondary","Current Sep store surface in other regions","Collect materials → nurture special flower → decorate shop","SOURCE / CURRENT NON-US STORE EVENT","https://apps.apple.com/mm/app/the-cozy-florist/id6754878717","Core-adjacent collect/nurture/decor event grammar","US availability, exact dates, participation TBD"
"Weekly Gift Code","Global community","Weekly","Discord gift code → claimable in-game reward","SOURCE / CURRENT DISCORD","https://discord.com/servers/the-cozy-florist-1457571990062891163","Owned-community CRM is part of the recurring value loop","Claim→return and reward-spend telemetry TBD"
"Real Bouquet Reward","Global / US-relevant","Ongoing promise","Virtual play/events → eligibility for physical flower reward","SOURCE / STORE + COMMUNITY","https://apps.apple.com/us/app/the-cozy-florist/id6754878717 | https://discord.com/servers/the-cozy-florist-1457571990062891163","Physical-world reward creates a differentiating PR/ritual layer","Eligibility, geography, fulfillment cost, claim rate TBD"
"Japan Localization Launch","Japan / Global-secondary","2026-02-06","Full Japanese localization + special flower variety + login gift code + X UGC campaign","FIRST-PARTY PRESS RELEASE","https://prtimes.jp/main/html/rd/p/000000001.000177511.html","Market expansion includes culturalization, product content, CRM and social promotion as one package","Japan retention/revenue/UA performance TBD"
