product,market_scope,currentness,stage_or_gate,observed_sequence_or_unlock,evidence_type,source,decision_read,still_missing
Heartopia,Global-secondary,"2026 guide, game version 1.3.x",First hour,"Character creation → movement/camera/interact → starter home with 2 plots → Vanya/fishing → join D.G. Guild",CURRENT GUIDE / SEQUENCE,https://heartopia.gg/beginner-guide,"Ownership and hobby fantasy introduced before long-meta depth","Exact US-mobile timestamps"
Heartopia,Global-secondary,2026 guide,~10–15 min tutorial milestone,"Tutorial quests complete → Builder Tablet",CURRENT GUIDE / APPROX TIME,https://heartopia.web.id/guides/beginner-guide/,"Meaningful ownership/build tool enters first-session window","Device-recorded exact timestamp"
Heartopia,Global-secondary,2026 guide,Days 3–4 / DG3,"Gardening unlock",CURRENT GUIDE / DAY + LEVEL GATE,https://heartopia.gg/beginner-guide,"Second production hobby delayed until daily loop understood","Exact cohort pace"
Heartopia,Global-secondary,2026 guide,Days 5–7 / DG5,"Cooking unlock; choose additional hobby; extra home plots/decor begin",CURRENT GUIDE / DAY + LEVEL GATE,https://heartopia.gg/beginner-guide,"Breadth expands after routine is established","Exact D5/D7 cohort distribution"
Heartopia,Global-secondary,2026 guide,DG12,"Cat Care unlock; Dog Care after Cat Care",CURRENT GUIDE / LEVEL GATE,https://heartopia.gg/beginner-guide,"Pet meta later than home/hobby loop","Current exact day-to-DG12"
Hay Day,Global / US-relevant,First-party Jun 18 2026,Onboarding strategy,"Supercell says the team rebuilt slow/clunky onboarding",FIRST-PARTY / CURRENT STRATEGY,https://supercell.com/en/news/nothing-bad-happens-in-hay-day/,"Mature live game treats onboarding as rebuildable growth system","A/B outcome metrics"
Hay Day,Global / US-relevant,Release notes May 2026,Early-game progression,"Better early level-up rewards; more truck orders; more fields earlier; easier Sanctuary progression; crops/tools purchasable with coins",CURRENT VERSION NOTES,https://www.ipa4fun.com/history/874/,"Remove early friction and increase productive choices","Experiment allocation + retention lift"
Hay Day,Global / US-relevant,Current support,Level 4,"Truck Orders unlock; up to 9 orders shown",FIRST-PARTY SUPPORT / LEVEL GATE,https://support.supercell.com/hay-day/zh/articles/truck-orders-2.html,"Orders become early economy/progression driver","Exact current tutorial timing"
Hay Day,Global / US-relevant,Current wiki,Level 7,"Roadside Shop + Daily Dirt unlock",CURRENT WIKI / LEVEL GATE,https://hayday.fandom.com/wiki/Roadside_Shop,"P2P commerce delayed until basic farm loop learned","Current first-session time-to-L7"
Big Farm Homestead,Global / US-relevant,Current fan guide,Levels 1–3/4,"Mandatory linear tutorial: harvest → sell → build",CURRENT GUIDE / SEQUENCE,https://www.homesteadfansite.com/guide/level/1,"Strong tutorial control until grammar is learned","Minute-level timestamps"
Big Farm Homestead,Global / US-relevant,Current fan guide,Level 2,"Build Cannery → first processed product",CURRENT GUIDE / LEVEL GATE,https://www.homesteadfansite.com/guide/level/2,"Production-chain concept before market autonomy","Exact elapsed time"
Big Farm Homestead,Global / US-relevant,Current fan guide,Level 3,"Market + Feed Mill → first contract → broader farm autonomy",CURRENT GUIDE / LEVEL GATE,https://www.homesteadfansite.com/guide/level/3,"Linear-teach → open-management transition","Exact elapsed time"
Gossip Harbor,US / Global,Updated Sep 2026,Week 1,"Focus active orders; preserve 6–8 open board tiles; do not merge ahead of demand",CURRENT GUIDE / WEEK-1 FRICTION,https://www.gossipharborguide.com/guides/beginner-guide/,"Resource management becomes the early skill","Exact unlock/timestamp sequence"
Gossip Harbor,US / Global,Current guide/wiki,Energy loop,"100-energy cap; +1 energy every 2 minutes",CURRENT GUIDE / ECONOMY GATE,https://www.gossipharborguide.com/,"Session pacing bounded by replenishment and board space","Current payer/refill segmentation"
Gossip Harbor,US / Global,Updated Sep 2026,~Level 12,"Board pressure materially harder as high-level orders stack",CURRENT GUIDE / LEVEL FRICTION,https://www.gossipharborguide.com/guides/beginner-guide/,"Early friction cliff is a better benchmark than D0 simplicity alone","Exact level-to-day distribution"
Gossip Harbor,US / Global,Updated Sep 2026,~Level 18,"63-tile board can carry ~6 generator families",CURRENT GUIDE / MID-EARLY META,https://www.gossipharborguide.com/guides/board-management-guide/,"Space scarcity becomes persistent meta pressure","Direct device validation"
The Cozy Florist,Global / US-relevant,Jan 24 2026 public video,Part 1 route,"Current-ish first-play walkthrough route located",PUBLIC VIDEO / ROUTE LOCATED,https://www.youtube.com/watch?v=g9bw6N8TZAA,"Use for future timestamp extraction","Exact T+0→30m extraction"
The Cozy Florist,Global / US-relevant,Current guide,Level 10,"Boutique + outfit collection unlock",CURRENT GUIDE / LEVEL GATE,https://grindnstrat.com/how-to-change-outfits-in-the-cozy-florist/,"Identity/fashion meta later than garden/shop core","Exact day/time-to-L10"
The Cozy Florist,Global / US-relevant,Current guide,"Level 31 + flower level 10","Flower Advancement unlock",CURRENT GUIDE / LATE GATE,https://grindnstrat.com/the-cozy-florist-flower-advancement-alchemy-guide/,"Deep optimization is late-game, not FTUE","Direct in-game validation"
Township,US / Global,"2026 beginner guide + current wiki",Early progression,"Crops → factories → goods → coins/XP; houses → population cap; Airport unlock at Lv17",CURRENT GUIDE / SYSTEM SEQUENCE,https://gamesnest.org/guides/township-beginner-guide/,"Economic dependency chain before broader transport systems","Exact current FTUE unlock timings"
