level,phase,new_system_or_action,monetization_or_ad_exposure,player_choice,evidence_label,source,guardrail
1,Mandatory tutorial,Harvest → sell → build; first 3–4 levels constrained,None directly evidenced,Very low,CURRENT GUIDE / LEVEL-GATE,https://www.homesteadfansite.com/guide/level/1,No elapsed-time timestamp
2,Production grammar,Cannery → canned corn; first processing chain,None directly evidenced,Tutorial-guided,CURRENT GUIDE / LEVEL-GATE,https://www.homesteadfansite.com/guide/level/2,Guide-derived current sequence
3,Economy / orders,Market + Feed Mill; first contract,"Contract refresh via 1-minute cooldown, gems, or video",Moderate after guided first contract,CURRENT GUIDE / LEVEL-GATE,https://www.homesteadfansite.com/guide/level/3,Exact first ad/video timestamp unavailable
4,Tutorial release / autonomy,House + Bakery; questbook replaces forced tutorial,"Ad contracts begin; slots 3–6 coins, 7–9 gems",High after house tutorial,CURRENT GUIDE / LEVEL-GATE,https://www.homesteadfansite.com/guide/level/4,Gems may be earnable; not equal to cash purchase
5,Ownership / layout,"Barn upgrade, Happiness, first land expansion, Building Edit Mode",Indirect pressure via storage/land efficiency,High,CURRENT GUIDE / LEVEL-GATE,https://www.homesteadfansite.com/guide/level/5,No direct paid-offer trigger documented
6,Resource bottleneck,Silo converts manure → fertilizer,Indirect pressure through a persistent bottleneck,High,CURRENT GUIDE / LEVEL-GATE,https://www.homesteadfansite.com/guide/level/6,Bottleneck ≠ conversion evidence
7,First grove,Tomato Grove; more land,Expansion materials begin at Lv11,High,CURRENT GUIDE / LEVEL-GATE,https://www.homesteadfansite.com/guide/level/7,No direct cash offer observed
8,Second owned space,Golden Hills + Barley,No direct new paid surface evidenced,High,CURRENT GUIDE / LEVEL-GATE,https://www.homesteadfansite.com/guide/level/8,Guide-derived
9,Daily retention / shop,"Chicken Coop; Daily Quests; social quest; Community Store","Daily gem reward; Hot Deals = 3 ad chests every 4h; Community Store Daily Gift; cash offers referenced",High,CURRENT GUIDE / LEVEL-GATE,https://www.homesteadfansite.com/guide/level/9,Exact offer prices/segmentation unavailable
10,Shipping / materials,"Barge; Red Beans; Glass + Bricks",Material scarcity becomes explicit progression pressure,High,CURRENT GUIDE / LEVEL-GATE,https://www.homesteadfansite.com/guide/level/10,No payer conversion data
