product,market_scope,start,end,surface,type,mechanic_or_offer,evidence_label,source,decision_read
Township,US source-market store events,2026-09-11,2026-10-01,Harvest Pass,Season pass,Golden Ticket cosmetics + extra stage rewards,SOURCE / CURRENT STORE EVENT,https://socialpeta.com/en/google-play/com.playrix.township,Overlaps expedition collection and co-op adventure
Township,US source-market store events,2026-09-12,2026-10-01,Guest from Space,Expedition,Explore complete levels earn energy rewards title,SOURCE / CURRENT STORE EVENT,https://socialpeta.com/en/google-play/com.playrix.township,Persistent expedition layer
Township,US source-market store events,2026-09-15,2026-10-13,Harvest Collection,Collection/social trade,Cards from expeditions challenges quests and social trade,SOURCE / CURRENT STORE EVENT,https://socialpeta.com/en/google-play/com.playrix.township,Collection wrapper connects multiple engines
Township,US source-market store events,2026-09-18,2026-09-27,Frozen Fortune,Co-op adventure,Ship upgrades match-3 town orders tokens,SOURCE / CURRENT STORE EVENT,https://socialpeta.com/en/google-play/com.playrix.township,Four major live surfaces active Sep25
Hay Day,US source-market store events,2026-09-21,2026-09-26,Whispering Woods,Challenge/decor,Mythical farm-space decorations,SOURCE / CURRENT STORE EVENT,https://socialpeta.com/zh/app-store/506627515,Current challenge alongside September Farm Pass
Hay Day,US source-market store events,2026-09,2026-09,September Farm Pass,Season pass,Tasks and Egg Shelf decoration/rewards,SOURCE / CURRENT STORE EVENT,https://socialpeta.com/zh/app-store/506627515,Recurring monthly pass layer
Hay Day,US source-market store events,2026-09-07,2026-09-14,Ultra-rare crop growth,Resource modifier,Crops grow 2x normal rate,SOURCE / RECENT STORE EVENT,https://socialpeta.com/zh/google-play/com.supercell.hayday,Low-asset core-economy modifier
Hay Day,US source-market store events,2026-08-27,2026-09-03,Boat Destinations,Major update/delivery,New destinations crates coins XP Nautical Miles,SOURCE / RECENT STORE EVENT,https://socialpeta.com/zh/google-play/com.supercell.hayday,Extends existing delivery engine
Hay Day,US source-market store events,2026-06-16,2026-06-30,14th Birthday Music Festival / Joe Jonas,Brand/community,Floating notes music decor compose/share songs rewards,SOURCE / HISTORICAL 2026 STORE EVENT,https://socialpeta.com/zh/google-play/com.supercell.hayday,Brand event reuses world and community
Hay Day,US source-market store events,2026-05-01,2026-05-08,Deals Week,Offer/sale,50%+ off selected Diamond and Key offers,SOURCE / HISTORICAL 2026 STORE EVENT,https://socialpeta.com/zh/google-play/com.supercell.hayday,Monetization event distinct from gameplay event
