product,scope,time_or_gate,action_or_unlock,evidence_status,source
My Perfect Hotel,"Historical iOS session","T+0","Serve first guest; starts with $50; no explicit tutorial","TIMED/HISTORICAL","https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/"
My Perfect Hotel,"Historical iOS session","T+1:46","Cleaner hire option appears after room #3","TIMED/HISTORICAL","https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/"
My Perfect Hotel,"Historical iOS session","T+2:19","First rewarded-ad cash-box offer","TIMED/HISTORICAL","https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/"
My Perfect Hotel,"Historical iOS session","T+4:20","Cleaner hired","TIMED/HISTORICAL","https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/"
My Perfect Hotel,"Historical iOS session","T+5:00","Toilet + utility room unlocked","TIMED/HISTORICAL","https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/"
My Perfect Hotel,"Historical iOS session","T+9:26","Automatic receptionist unlocked","TIMED/HISTORICAL","https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/"
My Perfect Hotel,"Historical iOS session","T+11:29","Hotel level 1 completed","TIMED/HISTORICAL","https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/"
My Perfect Hotel,"Historical iOS session","T+11:50","No Ads Pack appears","TIMED/HISTORICAL","https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/"
My Perfect Hotel,"Historical iOS session","T+12:00","3 rooms + toilet + utility + cleaner + receptionist; 5 ads watched","TIMED/HISTORICAL","https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/"
My Perfect Hotel,"Current validation route","2026-08-01","Current Part-1 tutorial video located; exact T+ normalization TBD","LOCATED/CURRENT","https://www.youtube.com/watch?v=vZdra_Xf97E"
Big Farm Homestead,"Progression","Lv8","Golden Hills second Homestead","GATE/STRONG","https://blog.ggs-bf2.com/web/en.html"
Big Farm Homestead,"Progression","Lv12","Community Island + guild/social","GATE/STRONG","https://blog.ggs-bf2.com/web/en.html"
The Cozy Florist,"Progression","Lv10","Boutique + outfit collection","GATE/PARTIAL","https://grindnstrat.com/how-to-change-outfits-in-the-cozy-florist/"
