product,market,platform,announce_or_version_date,event_name,start_date,end_date,event_type,core_or_event_action,reward_or_progression,monetization,social_layer,asset_requirement,reskin_reuse,evidence_type,source
Gossip Harbor,US,iOS,2026-09-22,Nova Morel,TBD,TBD,THEMED_EXPLORATION,Collect points in themed exploration,Exclusive decorations,TBD,Story cast,Themed illustration/decor,Reusable exploration shell,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,2026-09-08,Mid-Autumn Mystery,TBD,TBD,THEMED_EXPLORATION,Themed story exploration,Event rewards/decor,TBD,Story cast,Themed illustration/decor,Reusable exploration shell,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,2026-07-29,Dollhouse of Dreams,TBD,TBD,THEMED_EXPLORATION,Collect points in themed exploration,Exclusive decorations,TBD,Story cast,Themed illustration/decor,Reusable exploration shell,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,2026-07-17,Ancient Egypt,TBD,TBD,THEMED_EXPLORATION,Explore themed land,Exclusive decorations,TBD,Story cast,Themed illustration/decor,Reusable exploration shell,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,2026-07-03,Global Goblet,TBD,TBD,THEMED_EXPLORATION,Collect points in soccer-themed exploration,Showcase Stage + decorations,TBD,Story cast,Themed illustration/decor,Reusable exploration shell,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Township,US,iOS,2026-09-15,Western + Halloween Pass,TBD,TBD,SEASON_PASS,Complete season progression,Resources + town decor,Pass,Indirect via town/regatta,Pass art + themed assets,Reusable pass engine,OBSERVED,https://apps.apple.com/us/app/township/id638689075
Township,US,iOS,2026-09-15,Western/Halloween Adventures,TBD,TBD,NARRATIVE_ADVENTURE,Adventure tasks + match-3 support,Adventure rewards,TBD,Indirect,Adventure scenes/assets,Reusable adventure engine,OBSERVED,https://apps.apple.com/us/app/township/id638689075
Township,US,iOS,2026-09-15,Bermuda + Hudson Regatta,TBD,TBD,COMPETITIVE_SOCIAL,Regatta tasks,Competition rewards,TBD,Co-op/regatta,Low-medium thematic reskin,Reusable regatta engine,OBSERVED,https://apps.apple.com/us/app/township/id638689075
Township,US,iOS,2026-08-24,Harvest Collection,TBD,TBD,COLLECTION,Collect themed cards,Unique badge + prizes,TBD,Profile/showcase,Card set + badge,Reusable collection engine,OBSERVED,https://apps.apple.com/us/app/township/id638689075
Township,US,iOS,2026-08-24,Undersea + Harvest Pass,TBD,TBD,SEASON_PASS,Season progression,Resources + decor,Pass,Indirect,Pass art + themed assets,Reusable pass engine,OBSERVED,https://apps.apple.com/us/app/township/id638689075
Township,US,iOS,2026-07-02,Beach Collection,TBD,TBD,COLLECTION,Collect themed cards,Unique badge + prizes,TBD,Profile/showcase,Card set + badge,Reusable collection engine,OBSERVED,https://apps.apple.com/us/app/township/id638689075
Township,US,iOS,2026-07-02,Voyage + Summer Pass,TBD,TBD,SEASON_PASS,Season progression,Resources + decor,Pass,Indirect,Pass art + themed assets,Reusable pass engine,OBSERVED,https://apps.apple.com/us/app/township/id638689075
Hay Day,US,iOS,2026-06-17,14th Anniversary Music Festival,TBD,TBD,ANNIVERSARY_EVENT,Create music + collect notes,Music festival decorations,TBD,Community celebration,Music/decor assets,Event wrapper over farm loop,OBSERVED,https://apps.apple.com/us/app/hay-day/id506627515
Hay Day,US,iOS,2026-06-17,Boat Orders Rework Test,TBD,TBD,PRODUCT_EXPERIMENT,Choose boat destination/challenge,Order rewards,TBD,Helping/neighbor loop,Low new art; system/config heavy,Experiment not event,OBSERVED,https://apps.apple.com/us/app/hay-day/id506627515
Big Farm Homestead,US,iOS,2026-09-09,Deepwoods Festival,TBD,TBD,SEASON_FESTIVAL,Milestone festival progression,Exclusive rewards,Festival Pass,TBD,Themed pass assets,Reusable season engine,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
