event_or_test,visible_window,family,mechanic,monetization_or_reward,social_or_brand,evidence_label,source,decision_read,guardrail
Neighborhood Nurture Event,2026-01-12→2026-02-13,Neighborhood/Co-op,"Normal farm tasks grow shared Winter Maple Tree","Shared rewards","Lance Bass + Rainforest Alliance + real-world tree milestone",FIRST-PARTY SUPERCELL,https://supercell.com/en/news/hayday-lancebass/,"Reuses core chores for cooperative social progression","No US-only participation/revenue"
Valentine Boat Event,Feb-2026 visible,Seasonal Core Wrapper,"Pink boat + fill crates + help neighbors","Seasonal rewards","Social helping",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/hay-day/id506627515,"Seasonal wrapper modifies existing delivery engine","Exact dates/participation TBD"
Tiny Trail,Oct-2025 visible,Short experiment/Truck Orders,"4-day bite-sized Truck Order event","Diamonds + Coins","Limited rollout",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/hay-day/id506627515,"Small reusable event can be cohort-tested before scale","Not all players saw it; impact TBD"
Fresh Beats Beta,Oct-2025→Jan-2026 visible,Temporary Core Modifier,"Temporary perk boosts crops animals or production","Economy utility","Limited-player test",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/hay-day/id506627515,"Low-asset modifier can be beta-tested","Exact cohort/impact TBD"
14th Birthday Music Festival / Cozy Anthem,2026-06-16→2026-06-30,Brand/Music/Community,"Collect notes + milestones + web remix + TikTok + permanent jukebox/decor","13 note-themed decorations + Cozy Jukebox","Joe Jonas + digital-first artists",FIRST-PARTY SUPERCELL,https://supercell.com/en/news/hayday-joejonas/,"Cross-channel operation beyond game client","Incremental acquisition/retention/revenue not disclosed"
Boat Orders Rework Test,Jun-2026 visible,Core System Experiment,"Choose destination/challenge/reward path; limited-group test","Voyage rewards/progression",N/A,SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/hay-day/id506627515,"Mature core change through controlled cohort","Not a named LiveOps event; experiment"
Boat Destinations + Voyage Road,Aug/Sep-2026,Core/Meta Expansion,"Destination/difficulty choice + Nautical Miles + road rewards","Coins/XP/Nautical Miles/rewards",N/A,SOURCE / SUPERCELL SUPPORT + STORE EVENT,https://support.supercell.com/hay-day/ja/articles/hd-whats-new-aug-26.html,"Experiment graduates into durable progression","US rollout exact cohort/timing TBD"
Ultra-rare Crop Growth,2026-09-07→2026-09-14,Core Modifier,"2x crop growth","Indirect economy value",N/A,SOURCE / RECENT STORE EVENT,https://socialpeta.com/zh/google-play/com.supercell.hayday,"Very low-asset event using core economy","US impact TBD"
September Farm Pass,Sep-2026,Season Pass,"Tasks→pass progression→Egg Shelf decoration/rewards","Farm Pass/Bundle",N/A,SOURCE / CURRENT US APP STORE,https://apps.apple.com/us/app/hay-day/id506627515,"Recurring monetization/retention backbone","Conversion/renewal TBD"
Whispering Woods,2026-09-21→2026-09-26,Challenge/Decor,"Challenge→mythical farm-space decoration","Decoration reward",N/A,SOURCE / CURRENT US APP STORE,https://apps.apple.com/us/app/hay-day/id506627515,"Short challenge can coexist with Farm Pass without new core","Participation TBD"
