Requirement,Status,Recovered in v1.9,Still Missing,Next Action
current US-only monthly Downloads/IAP,PARTIAL+,"GH Jan-2026 US monthly estimate; GH/Township Aug US download snapshots; dated US weekly D/IAP for GH/Township/Hay Day/My Perfect Hotel/Office Cat","Sep-2026 monthly US D/IAP across Priority8","Acquire provider export / same-period US data"
paid/organic/source mix,PARTIAL+,"GH paid-display share signal; current creative/channel coverage; historical source maps","Full current paid/organic/web mix by title","Provider/MMP/source-mix export"
spend/CPI/CTR/CVR/ROAS,PARTIAL+,"US Unity ROAS for My Perfect Hotel/Township; JP/KR Office Cat campaign cases","Absolute spend/CPI/CTR/CVR and blended ROAS for most titles","Collect disclosed cases / provider data"
Priority8 30/90/180 creative history,PARTIAL++,"GH 30/90/180-compatible evidence; Township 30d+910d longevity; Cozy/Heartopia 30d","Same-vendor normalized Priority8 series","Repeat vendor pulls by fixed windows"
current T+0→30m + D1/D3/D7/D14,PARTIAL+,"FTUE routes/gates; selected campaign retention cases","Current in-product FTUE & organic cohort retention","Timestamp current builds / source retention"
complete review-by-version,TBD/PARTIAL,"Current review themes + visible version history","Complete joined review/version corpus","Store/API export with review version"
Offer trigger/segmentation/probability/frequency,PARTIAL++,"MPH/Hay/Township current offers; Heartopia pool probability; GH external intro offer","Trigger/frequency/segmentation/conversion","Capture in-game offers + experiments"
event participation/payer/DAU,PARTIAL+,"MPH 700K+ event completions + dated US active-user scale for five titles","Current DAU, payer counts/rates and standardized event participation","First-party/case-study search + provider DAU"
current title-team size,PARTIAL++,"Hay Day current 60+; Township historical ~130; selected process signals","Current exact team for most titles","Hiring pages/interviews/studio talks"
asset-hours/time-to-area/event,TBD/PARTIAL,"Reuse/cadence signals only","Actual asset-hours and production lead times","Developer talks/postmortems/job process evidence"
QA staffing/outsourcing ratio,TBD/PARTIAL,"Release manager / dedicated LiveOps / partner surfaces","Exact staffing and ratios","Org charts/interviews/job descriptions"
