version,date,event_or_note,wrapper_read,evidence_label,source,guardrail
3.86.0,2026-03-18,Swan Lake / Swan Princess,Narrative exploration → collect points → decorations,SOURCE / APP STORE VERSION NOTE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Repeated release notes do not prove exact feature first-launch date
3.87.0,2026-04-01,Easter / cyberspace celebration,Narrative exploration → collect points → decorations,SOURCE / APP STORE VERSION NOTE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Repeated release notes do not prove exact feature first-launch date
3.88.0,2026-04-15,Easter / cyberspace celebration,Repeated event note / same wrapper visible,SOURCE / APP STORE VERSION NOTE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Repeated release notes do not prove exact feature first-launch date
3.89.0,2026-04-29,Slivertails cowboy celebration,Narrative exploration → collect points → decorations,SOURCE / APP STORE VERSION NOTE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Repeated release notes do not prove exact feature first-launch date
3.90.0,2026-05-13,Fair Frost Princess,Narrative exploration → collect points → decorations,SOURCE / APP STORE VERSION NOTE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Repeated release notes do not prove exact feature first-launch date
3.91.0,2026-06-05,Fair Frost Princess,Repeated event note / same wrapper visible,SOURCE / APP STORE VERSION NOTE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Repeated release notes do not prove exact feature first-launch date
3.92.0,2026-06-18,Global Goblet watch party,Narrative exploration → collect points → decorations,SOURCE / APP STORE VERSION NOTE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Repeated release notes do not prove exact feature first-launch date
3.92.5,2026-06-24,Global Goblet watch party,Repeated event note / same wrapper visible,SOURCE / APP STORE VERSION NOTE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Repeated release notes do not prove exact feature first-launch date
3.93.0,2026-07-03,Global Goblet watch party,Repeated event note / same wrapper visible,SOURCE / APP STORE VERSION NOTE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Repeated release notes do not prove exact feature first-launch date
3.94.0,2026-07-17,Ancient Egypt / Coconut,Narrative exploration → collect points → decorations,SOURCE / APP STORE VERSION NOTE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Repeated release notes do not prove exact feature first-launch date
3.94.5,2026-07-24,Ancient Egypt / Coconut,Repeated event note / same wrapper visible,SOURCE / APP STORE VERSION NOTE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Repeated release notes do not prove exact feature first-launch date
3.95.0,2026-07-29,Dollhouse of Dreams / career pop-up,Narrative exploration → collect points → decorations,SOURCE / APP STORE VERSION NOTE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Repeated release notes do not prove exact feature first-launch date
3.96.0,2026-08-12,Dragon rescue,Narrative exploration / rescue event,SOURCE / APP STORE VERSION NOTE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Repeated release notes do not prove exact feature first-launch date
3.97.0,2026-08-26,Raccoon-infested wasteland,Narrative exploration → collect points → decorations,SOURCE / APP STORE VERSION NOTE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Repeated release notes do not prove exact feature first-launch date
3.98.0,2026-09-08,Mooncake / talking-rabbit celestial mystery,Narrative exploration / seasonal fantasy,SOURCE / APP STORE VERSION NOTE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Repeated release notes do not prove exact feature first-launch date
3.98.5,2026-09-16,Mooncake / talking-rabbit celestial mystery,Repeated event note / same wrapper visible,SOURCE / APP STORE VERSION NOTE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Repeated release notes do not prove exact feature first-launch date
3.99.0,2026-09-23,Nova Morel / fungi & aliens,CALCULATED date from App Store '3d ago' on 2026-09-26; narrative exploration → points/decor,CALCULATED DATE + SOURCE NOTE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Repeated release notes do not prove exact feature first-launch date
SUMMARY,2026-03-18→2026-09-23,17 visible version points; median gap 13.5d; mean gap 11.8d,NEW EPISODE EVERY FRIDAY is repeated in App Store notes; event wrapper often reuses narrative exploration / points / decoration reward grammar,CALCULATED + SOURCE,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294,Visible-history cadence is not total backend content cadence
