layer,current_observation,evidence_label,source,product_read,risk_or_gap
Energy baseline,"1 energy / 2 min; cap 100",CURRENT GUIDE / THIRD-PARTY,https://gossipharborguide.com/ja/guides/beginner-guide/,Session-limiting resource is simple and legible,"Not first-party telemetry; no segment/config history"
Board pressure,"Current guide recommends keeping 6–8 free tiles; pressure becomes materially worse around Lv12",CURRENT GUIDE / THIRD-PARTY,https://gossipharborguide.com/ja/guides/beginner-guide/,"Space becomes a second scarce resource in addition to energy","Exact level threshold may vary by player/config"
Gem sink priority,"Current guide recommends preserving Gems for Inventory rather than timer skips or small energy refills",CURRENT GUIDE / THIRD-PARTY,https://gossipharborguide.com/ja/guides/beginner-guide/,"Premium currency has durable utility via board-capacity expansion","Recommendation is strategy guidance, not observed spend distribution"
High-order pressure,"Guide warns some early visible high-level orders can consume 300+ energy if chased inefficiently",CURRENT GUIDE / THIRD-PARTY,https://gossipharborguide.com/ja/guides/beginner-guide/,"Order selection creates strategic energy allocation and potential monetization pressure","Energy estimate is guide-derived, not server-authoritative"
Generator capacity,"Two Lv6 coffee machines reportedly yield 36–40 taps before cooldown vs one Lv7 with 24–28 taps; common cooldown examples ~1h45m–3h",CURRENT GUIDE / THIRD-PARTY,https://gossipharborguide.com/ja/guides/generators-mechanics-and-cooldowns/,"Merging generators trades board space for production throughput/cooldown risk","Third-party current guide; exact values can change by version/config"
Super Boost,"Unlocked around Lv15; 2x/4x energy spend produces higher-level drops directly",CURRENT GUIDE / THIRD-PARTY,https://gossipharborguide.com/ja/guides/generators-mechanics-and-cooldowns/,"Creates a player-controlled speed/space/energy tradeoff for high-rank orders","Unlock and efficiency should be revalidated in owned capture"
Passive producer,"Orange Tree reportedly drops fruit every 4h at zero energy cost",CURRENT GUIDE / THIRD-PARTY,https://gossipharborguide.com/ja/guides/generators-mechanics-and-cooldowns/,"Adds timer-based passive return value that contrasts with energy-gated generators","Third-party current guide"
Free-energy ecosystem,"Guide estimates natural recovery + daily shop gift + public gift links + events/mini-games + merged energy bottles can create multiple free-energy paths",CURRENT GUIDE / THIRD-PARTY,https://gossipharborguide.com/guides/daily-energy-checklist/,"Economy softens hard energy pressure through CRM/event/reward channels","Daily 800–1,100 figure is guide-estimated; not first-party telemetry"
Permanent side quests,"6 Special Requests are described as non-expiring resident quests with dedicated generators and unique merge chains",CURRENT GUIDE / THIRD-PARTY,https://www.gossipharborguide.com/guides/special-requests-complete-walkthrough/,"Side quests deliberately compete with regular orders for board/energy capacity","Not first-party; exact unlocks/energy estimates may change"
Late side-quest burden,"Carmen's Tiara and Coconut's Tower are estimated at ~2,200–3,000 energy; Coconut's Tower around Lv50+",CURRENT GUIDE / THIRD-PARTY,https://www.gossipharborguide.com/guides/special-requests-complete-walkthrough/,"Long-lived side chains create optional endgame sinks and scheduling decisions","Energy ranges are guide estimates, not observed server values"
Weekly scheduling tension,"Guide recommends doing permanent side requests mid-week because weekend tournaments demand regular-order throughput",CURRENT GUIDE / THIRD-PARTY,https://www.gossipharborguide.com/guides/special-requests-complete-walkthrough/,"LiveOps and permanent meta compete for the same core resource, creating deliberate calendar planning","Community strategy recommendation, not official design statement"
