requested_gap,status_after_round,new_public_evidence,what_is_not_found,decision_use
current US-only monthly Downloads/IAP,PARTIAL+,"US weekly Q4-2025 for Gossip Harbor/Township/Hay Day/My Perfect Hotel; Q3-2025 Office Cat; near-current Aug-19 US downloads for Gossip Harbor/Township","Current Sep-2026 monthly US IAP for Priority8; current monthly US KPI for 6/8 titles","Dated US market-scale context only; not launch gate"
paid/organic/source mix,PARTIAL,"Current channel/ad-plan coverage for Cozy Florist; current US ad fleets for Gossip Harbor/Township; historical channel mix for My Perfect Hotel","Verified paid vs organic install share; spend-weighted source mix","Channel hypotheses only"
spend/CPI/CTR/CVR/ROAS,TBD,"Estimated impression/placement proxies only","Verified spend/CPI/CTR/CVR/ROAS","Do not derive dollars or efficiency from creative trackers"
Priority8 30/90/180-day creative history,PARTIAL+,"Gossip Harbor 398d asset + 30/180 window; Township 910d asset; Cozy Florist current 30d; Heartopia current 30d","Normalized same-provider 30/90/180 series for all 8","Creative longevity/throughput hypotheses only"
current T+0→30m + D1/D3/D7/D14,PARTIAL+,"Existing Priority8 sequence/gate coverage in repo","Current exact timestamps remain largely missing","Keep benchmark vs current validation separate"
complete review-by-version,PARTIAL+,"Existing Focus4 current issues + visible version histories; current Big Farm ad-friction signal","Normalized full historical review corpus mapped to version","Early-warning only"
Offer trigger/segmentation/probability/frequency,PARTIAL+,"Current store IAP ladders and offer taxonomies for several titles","In-game trigger, segmentation, probability, frequency for most titles","Storefront architecture only"
event participation/payer/DAU,PARTIAL,"Dated US weekly active-user evidence for 5 titles; current event calendars","Event participation, payer counts/rate, current DAU","Do not infer participation/payer from AU"
current exact title-team size,PARTIAL++,"Historical/current process evidence in v1.7 production matrix","Current exact title-team size for most titles","Production burden qualitative/relative"
asset-hours/time-to-new-area-event/QA staffing/outsourcing,PARTIAL,"Big Farm shared code/under-one-year process; selected process/outsourcing evidence in v1.7","Title-level asset-hours, QA FTE, outsourcing ratios for most titles","Use process levers, not fabricated staffing ratios"
