product,market,surface,start,end,type,current_state_2026_09_25,evidence_label,source,notes
Heartopia,Global-secondary,Echo of Ancients,2026-08-29,"2026-10-10 or 2026-10-17",Major seasonal event,ACTIVE,"SECONDARY / SOURCE CONFLICT","https://build-heartopia.com/events | https://heartopia.life/events/","End-date conflict preserved; both dates are after Sep25"
Heartopia,Global-secondary,Party Festival,"2026-09-19 06:00","2026-10-09 05:59",UGC/social event,ACTIVE,"SECONDARY / OFFICIAL-ANNOUNCEMENT DERIVED","https://build-heartopia.com/events | https://topuplist.com/blogs/detail/heartopia-party-festival-guide-blueprints-dates","Party Club + player blueprints"
Heartopia,Global-secondary,Burger Bliss,"2026-09-19 06:00","2026-10-12 05:59",Exchange/collab event,ACTIVE,"SECONDARY / OFFICIAL-ANNOUNCEMENT DERIVED","https://build-heartopia.com/events","Limited exchange + emote"
Heartopia,Global-secondary,Mid-Autumn / Under the Same Moon,"2026-09-25 06:00","2026-10-12 05:59",Seasonal social/photo/store event,ACTIVE TODAY,"FIRST-PARTY STEAM","https://steamcommunity.com/app/4025700/announcements/","Sea Lantern messages + photo/check-in + event store"
Heartopia,Global-secondary,Starspell Voyager,"2026-09-26 07:00","2026-11-28 05:59",Exhibition/collection/building event,SCHEDULED NEXT DAY,"SECONDARY / OFFICIAL-ANNOUNCEMENT DERIVED","https://build-heartopia.com/events/starspell-voyager","222 matching item/recipe outputs in guide"
Heartopia,Global-secondary,Double Moonlight sign-ins,"2026-09-28 06:00","2026-10-12 05:59",CRM/sign-in modifier,SCHEDULED,"SECONDARY / OFFICIAL-ANNOUNCEMENT DERIVED","https://build-heartopia.com/events","Separate lightweight CRM layer"
Heartopia,Global-secondary,White Snake,"2026-09-30 06:00","2026-10-26 05:59",Licensed collaboration/exchange,SCHEDULED,"SECONDARY / OFFICIAL-ANNOUNCEMENT DERIVED","https://build-heartopia.com/events/white-snake","Free umbrella + exchange + outfits"
Big Farm Homestead,Global / US-relevant,Deepwoods Pass,2026-09-14,2026-10-12,4-week Festival Pass,ACTIVE,"FIRST-PARTY START + COMMUNITY END","https://blog.ggs-bf2.com/web/en.html | https://www.homesteadfansite.com/","Corrects earlier provisional Sep7 interpretation"
Big Farm Homestead,Global / US-relevant,County Fair Tournament,2026-09-21,2026-09-28,Tournament,ACTIVE,"FIRST-PARTY START + COMMUNITY END","https://blog.ggs-bf2.com/web/en.html | https://www.homesteadfansite.com/","Official Sep18 post says starts Sep21"
Big Farm Homestead,Global / US-relevant,Dino Drama,2026-09-21,2026-10-05,Returning event,ACTIVE,"FIRST-PARTY START + COMMUNITY END","https://blog.ggs-bf2.com/web/en.html | https://www.homesteadfansite.com/","Official Sep18 post says starts Sep21"
Gossip Harbor,US / Global,Free Energy public reward drops,2026-09-11 sample,2026-09-24 latest observed,CRM/reactivation,ACTIVE,"SECONDARY / OBSERVED","https://gossipharborfreeenergylinks.com/","Observed drops Sep11,14,16,18,21,23,24; median interval = 2 days"
Gossip Harbor,US / Global,New Episode Every Friday,current v3.98.5,ongoing,Narrative content cadence,ACTIVE,"STORE VERSION / CURRENT","https://apkpure.net/gossip-harbor-merge-story/com.mergegames.gossipharbor/download/3.98.5","Weekly narrative cadence"
Hay Day,US,September Farm Pass,Sep 2026,Sep 2026,Pass,ACTIVE,"FIRST-PARTY STORE","https://apps.apple.com/us/app/hay-day/id506627515","Current App Store event surface"
Hay Day,US,Whispering Woods,Sep 2026,TBD,Challenge,ACTIVE,"FIRST-PARTY STORE","https://apps.apple.com/us/app/hay-day/id506627515","Current App Store event surface"
