event_instance,start,end,event_family,mechanic_or_surface,reward_or_monetization,reuse_engine,evidence_label,source,guardrail
Cat Day 2025 / Super Cat Churu,2025-08-07,2025-08-14,Seasonal character/resource event,Give Churu to cat employees,Starflower Cat Tower + Cat's Star,Seasonal reward wrapper,SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010,Historical 2025 instance; not current participation
Halloween Event 2025,2025-10-23,TBD,Seasonal event,+ Wardrobe added in same release,Special rewards,Seasonal event wrapper,SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010,Exact end / participation TBD
Black Friday Package 2025,2025-11-28,TBD,Offer / sale,Limited package,Discount/value bundle,Offer engine,SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010,Offer segmentation / revenue TBD
Christmas Event 2025,2025-12-18,TBD,Seasonal event,Complete event; reward-system changes in same release,Event rewards + booster tickets,Seasonal event wrapper,SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010,Exact end / participation TBD
Shiny Meow Mine Event,2026-01-24,TBD,Mining / resource event,Mine-themed event; Office Expansion Plan added nearby,Event rewards,Mining wrapper,SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010,Current exact mechanics / end TBD
Valentine's Event 2026,2026-02-12,TBD,Seasonal event,Join event,Special rewards,Seasonal event wrapper,SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010,Exact end / participation TBD
Easter Event 2026,2026-04-02,TBD,Seasonal event,Join event,Rewards,Seasonal event wrapper,SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010,Exact end / participation TBD
2nd Anniversary Event,2026-05-02,~1 week,Anniversary / party / exchange,Party Games → Anniversary Coins → Exchange Shop,Exchange rewards,Party + Event Currency + Exchange engine,SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010,Version note says one week; exact end timestamp TBD
Cat Day 2026,2026-08-06,~1 week,Seasonal / collection/ranking support,Costumes + plants; Daily Rankings added to Farm/Aquafarm,Event rewards,Seasonal wrapper + ranking layer,SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010,Version note says one week; exact end timestamp TBD
City 7 + Payment Challenge,2026-08-20,Ongoing/TBD,Area expansion + monetization challenge,Halloween-themed City 7 + Payment Challenge,Challenge monetization,Area expansion + challenge layer,SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010,Payment Challenge rules/price/conversion TBD
Prosperous Meow Apple Orchard,CURRENT 2026-09-26,TBD,Farm / harvest event,Harvest crops in farm village,Rewards,Harvest wrapper,SOURCE / CURRENT US APP STORE EVENT,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010,Exact start/end/participation TBD
Meowperation: Cattery!,CURRENT 2026-09-26,TBD,Collection + ranking,Collect seafood with Super Employee; compete in ranking,Ranking rewards,Collection + ranking wrapper,SOURCE / CURRENT US APP STORE EVENT,https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010,Exact start/end/participation TBD
