Requirement,Status,Coverage_Maturity,Coverage,Limitation,Next_Action
Market/KPI,PARTIAL,HIGH,"US store + same-scope monthly series","Sep US monthly D/IAP and payer missing","Refresh US provider/MMP"
Art/Visual,PARTIAL,HIGH,"Current visual grammar retained","Annotated current screen pack missing","Capture 3–8 screens"
Core Gameplay,PARTIAL,HIGH,"City/farm + Match-3 hybrid classified","Current first-30s timing missing","Capture clean install"
FTUE,PARTIAL,MEDIUM-HIGH,"Existing onboarding evidence retained","Exact T+0–30m missing","Record timed US session"
Progression/Meta/Side,PARTIAL,HIGH,"Pass/Collection/Adventure/Regatta/Match-3/Town lanes mapped","Unlock reach missing","Map live-account reach"
Economy/Monetization,PARTIAL,HIGH,"Current US IAP + historical AppMagic US GP offer evidence","2026 trigger/segment/frequency/conversion missing","Capture current offer route"
LiveOps/Event Calendar,PARTIAL,HIGH,"14-version 2026 train + late-Sep overlap","Exact activation/participation missing","Recover calendar/exposure"
UA/Creative/Promotion,PARTIAL,HIGH,"US two-speed creative fleet + longevity/concentration","Spend/CTR/CVR/CPI/ROAS/source mix missing","Acquire MMP/network economics"
Reviews/Versions,PARTIAL,HIGH,"Current Match-3/promise mismatch warning + v39.0.2","Exact review-version corpus missing","Acquire review export"
Trend/Cause,PARTIAL,HIGH,"Jul E1 content-wave candidate; Aug E0 with US counter-evidence","Aligned US source/payer/event cohorts missing","Hold evidence levels"
Production Burden,PARTIAL,HIGH,"Multi-lane train + historical team scaling context","Current team/asset-hours/QA/support missing","Recover production inputs"
Benchmark-by-Objective,DONE,HIGH,"Township objectives appended","Impact telemetry incomplete","Maintain by objective"
Ops Cat Product Translation,PARTIAL,HIGH,"Creative lineage/lane ceiling/promise audit/side-loop guardrail","Own throughput/performance missing","Implement and measure"
US/Global,PARTIAL,HIGH,"US evidence separated from collection/global/historical","US monthly economics/source mix missing","Maintain labels"
Evidence/Status Audit,DONE,HIGH,"Evidence taxonomy retained","Material gaps remain","Update next release"
