product_family,month,total_downloads,ios_downloads,google_play_downloads,revenue_usd,paid_downloads_proxy,organic_downloads,organic_share,top_5_countries,ad_creative_count,rating,review_count,major_version,liveops_event,ip_collab,organic_paid_ratio,rpd_usd,download_peak_ratio,revenue_peak_ratio,revenue_persistence,3m_revenue_carryover,download_scope,revenue_scope,data_status,source_url,notes
Heartopia,2025-09,n.a.,n.a.,n.a.,2225809,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.10027260180040355,n.a.,n.a.,Global iOS+Google Play,Diandian product collection including regional entities,verified_visible_table;verified_visible_table;scope_mismatch,https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-downloads | https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-income,"Downloads are verified Global-only export; revenue is collection scope, so RPD/cross-scope persistence are N/A."
Heartopia,2025-10,n.a.,n.a.,n.a.,1469509,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.06620131862127847,n.a.,n.a.,Global iOS+Google Play,Diandian product collection including regional entities,verified_visible_table;verified_visible_table;scope_mismatch,https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-downloads | https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-income,"Downloads are verified Global-only export; revenue is collection scope, so RPD/cross-scope persistence are N/A."
Heartopia,2025-11,n.a.,n.a.,n.a.,1624868,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.07320023503464049,n.a.,0.0798913851521075,Global iOS+Google Play,Diandian product collection including regional entities,verified_visible_table;verified_visible_table;scope_mismatch,https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-downloads | https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-income,"Downloads are verified Global-only export; revenue is collection scope, so RPD/cross-scope persistence are N/A."
Heartopia,2025-12,0,0,0,1135571,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,0.0511574257715222,n.a.,0.06351965980914706,Global iOS+Google Play,Diandian product collection including regional entities,verified_visible_table;verified_visible_table;scope_mismatch,https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-downloads | https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-income,"Downloads are verified Global-only export; revenue is collection scope, so RPD/cross-scope persistence are N/A."
Heartopia,2026-01,10886824,5369271,5517553,7992126,n.a.,n.a.,n.a.,美国:1477986; 泰国:1125095; 菲律宾:1073754; 巴西:997920; 日本:908676,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,0.36004494003602827,n.a.,0.16146753361406366,Global iOS+Google Play,Diandian product collection including regional entities,verified_visible_table;verified_visible_table;scope_mismatch,https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-downloads | https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-income,"Downloads are verified Global-only export; revenue is collection scope, so RPD/cross-scope persistence are N/A."
Heartopia,2026-02,4510681,2067272,2443409,22197579,n.a.,n.a.,n.a.,泰国:672813; 美国:568412; 日本:512224; 韩国:356882; 菲律宾:303405,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.4143247837936941,1,n.a.,0.4704007886025168,Global iOS+Google Play,Diandian product collection including regional entities,verified_visible_table;verified_visible_table;scope_mismatch,https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-downloads | https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-income,"Downloads are verified Global-only export; revenue is collection scope, so RPD/cross-scope persistence are N/A."
Heartopia,2026-03,2898880,1246529,1652351,14000945,n.a.,n.a.,n.a.,泰国:399627; 美国:363652; 韩国:335296; 菲律宾:235842; 巴西:230495,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.26627416774625917,0.6307419831685248,n.a.,0.6635956410681844,Global iOS+Google Play,Diandian product collection including regional entities,verified_visible_table;verified_visible_table;scope_mismatch,https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-downloads | https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-income,"Downloads are verified Global-only export; revenue is collection scope, so RPD/cross-scope persistence are N/A."
Heartopia,2026-04,1161243,643971,517272,10121056,n.a.,n.a.,n.a.,泰国:154795; 韩国:129144; 美国:127155; 巴西:105916; 日本:95609,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.10666499247163361,0.4559531469625584,n.a.,0.6955650433770277,Global iOS+Google Play,Diandian product collection including regional entities,verified_visible_table;verified_visible_table;scope_mismatch,https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-downloads | https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-income,"Downloads are verified Global-only export; revenue is collection scope, so RPD/cross-scope persistence are N/A."
Heartopia,2026-05,684986,392880,292106,9515330,n.a.,n.a.,n.a.,泰国:90425; 美国:71342; 巴西:62325; 日本:58649; 韩国:51059,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.06291880901170074,0.42866521614812136,n.a.,0.5051201154264015,Global iOS+Google Play,Diandian product collection including regional entities,verified_visible_table;verified_visible_table;scope_mismatch,https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-downloads | https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-income,"Downloads are verified Global-only export; revenue is collection scope, so RPD/cross-scope persistence are N/A."
Heartopia,2026-06,554317,346249,208068,7791902,n.a.,n.a.,n.a.,泰国:88779; 美国:68821; 日本:60589; 韩国:47923; 中国台湾:30219,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.05091631866189809,0.35102485726033456,n.a.,0.41188107345700475,Global iOS+Google Play,Diandian product collection including regional entities,verified_visible_table;verified_visible_table;scope_mismatch,https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-downloads | https://app.diandian.com/app/4v2imue5rkzetgy/googleplay-income,"Downloads are verified Global-only export; revenue is collection scope, so RPD/cross-scope persistence are N/A."
