product,market,platform,campaign_or_scope,metric,value,comparison_basis,evidence_label,source,guardrail
My Perfect Hotel,US,Android,Unity Ads Vector · Ad Revenue + Hybrid ROAS,Scale,2.2x,Vector campaign vs prior Unity Ads setup,SOURCE / NETWORK CASE / 2026,https://gw-prd.hexagon.unity.com/resources/saygames,Unity-network result; not total blended spend
My Perfect Hotel,US,Android,Unity Ads Vector · Ad Revenue + Hybrid ROAS,D7 ROAS,+19%,Vector campaign uplift,SOURCE / NETWORK CASE / 2026,https://gw-prd.hexagon.unity.com/resources/saygames,Relative uplift; absolute ROAS not disclosed
My Perfect Hotel,US,Android,Unity Ads Vector · Ad Revenue + Hybrid ROAS,D7 ARPU,+50%,March 2025 vs October 2025 case-study comparison,SOURCE / NETWORK CASE / 2026,https://gw-prd.hexagon.unity.com/resources/saygames,Relative uplift; absolute ARPU not disclosed
Township,US,iOS,Unity Ads Vector · D28 IAP ROAS,Scale,+89%,Aug-Oct 2025 vs Nov 2025-Jan 2026 spend-based scale comparison,SOURCE / NETWORK CASE / 2026,https://pr-5225.preview-web.hexagon.unity.com/resources/playrix_vector,Unity-network campaign; not total game spend
Township,US,iOS,Unity Ads Vector · D28 IAP ROAS,D28 ROAS,+14%,D28 campaign vs same-period D7 IAP ROAS campaign,SOURCE / NETWORK CASE / 2026,https://pr-5225.preview-web.hexagon.unity.com/resources/playrix_vector,Relative uplift; D7 campaign still led short-term ROAS
Township,US,iOS,Unity Ads Vector · D28 IAP ROAS,D14 retention,+26.46%,D28-acquired cohort vs same-period D7 baseline,SOURCE / NETWORK CASE / 2026,https://pr-5225.preview-web.hexagon.unity.com/resources/playrix_vector,Relative cohort-quality uplift; not absolute retention
Township,US,iOS,Unity Ads Vector · D28 IAP ROAS,D28 retention,~+38%,D28-acquired cohort vs same-period D7 baseline,SOURCE / NETWORK CASE / 2026,https://pr-5225.preview-web.hexagon.unity.com/resources/playrix_vector,Relative uplift; not absolute retention
Township,US,iOS,Unity Ads Vector · D28 IAP ROAS,D28 ARPU,2.4x,D28-acquired cohort vs D7 IAP ROAS campaign,SOURCE / NETWORK CASE / 2026,https://pr-5225.preview-web.hexagon.unity.com/resources/playrix_vector,Campaign-selection effect; not product-wide ARPU
Office Cat,South Korea,Android / Playio,Playio Time Quest + Hidden Quest campaign,D1 retention,69%,Campaign cohort,SOURCE / CHANNEL CASE / HISTORICAL,https://playioads.oopy.io/88afac68-0540-46ce-832a-363ca3749dc4,Non-US rewarded-engagement campaign; not organic retention
Office Cat,South Korea,Android / Playio,Playio Time Quest + Hidden Quest campaign,D7 retention,60%,Campaign cohort,SOURCE / CHANNEL CASE / HISTORICAL,https://playioads.oopy.io/88afac68-0540-46ce-832a-363ca3749dc4,Non-US rewarded-engagement campaign; not organic retention
Office Cat,South Korea,Android / Playio,Playio Time Quest + Hidden Quest campaign,D14 retention,50%,Campaign cohort,SOURCE / CHANNEL CASE / HISTORICAL,https://playioads.oopy.io/88afac68-0540-46ce-832a-363ca3749dc4,Do not use as US organic launch gate
Office Cat,South Korea,Android / Playio,Playio Time Quest + Hidden Quest campaign,D30 ROAS,209%,Campaign cohort,SOURCE / CHANNEL CASE / HISTORICAL,https://playioads.oopy.io/88afac68-0540-46ce-832a-363ca3749dc4,Channel-specific; absolute spend not disclosed
Office Cat,Japan,Android / Playio Japan,Localized Playio campaign,CVR,59%,Campaign cohort,SOURCE / CHANNEL CASE / HISTORICAL,https://playioads.oopy.io/1816d677-dbc8-80a4-886c-e03bb7adeabc,Non-US; Playio campaign-specific
Office Cat,Japan,Android / Playio Japan,Localized Playio campaign,D1 / D3 / D7 retention,56% / 43% / 33%,Campaign cohort,SOURCE / CHANNEL CASE / HISTORICAL,https://playioads.oopy.io/1816d677-dbc8-80a4-886c-e03bb7adeabc,Non-US; cannot compare directly with Korea case due campaign/market differences
Office Cat,Japan,Android / Playio Japan,Localized Playio campaign,D30 ROAS,234%,Campaign cohort,SOURCE / CHANNEL CASE / HISTORICAL,https://playioads.oopy.io/1816d677-dbc8-80a4-886c-e03bb7adeabc,Non-US; channel-specific
Heartopia / X.D. online-game portfolio,Global-secondary,Portfolio,X.D. 2026H1 online games,Avg monthly active users,12.548M,+10.0% YoY,SOURCE / PORTFOLIO-LEVEL,https://www.fxbaogao.com/detail/5663428,Not Heartopia title MAU
Heartopia / X.D. online-game portfolio,Global-secondary,Portfolio,X.D. 2026H1 online games,Avg monthly paying users,1.440M,+8.9% YoY,SOURCE / PORTFOLIO-LEVEL,https://www.fxbaogao.com/detail/5663428,Not Heartopia title payers
Heartopia / X.D. online-game portfolio,Global-secondary,Portfolio,X.D. 2026H1 online games,Calculated payer/MAU ratio,11.48%,1.440M / 12.548M,CALCULATED / PORTFOLIO-LEVEL,https://www.fxbaogao.com/detail/5663428,Portfolio ratio; must not be assigned to Heartopia
Heartopia,Global-secondary,Company results,X.D. 2026H1,Revenue contribution,Top-5 title; overseas launch cited as a primary growth driver,Company/game-business context,SOURCE / COMPANY-CONTEXT,https://finance.sina.com.cn/stock/hkstock/ggscyd/2026-08-28/doc-inipvvzv9025973.shtml,No title-specific revenue or payer count disclosed
