priority,track,game,publisher_or_dev,launch_window,signal,why_watch,diandian_pull
P0,Direct Cozy/Life Sim,Heartopia / 心动小镇,XD,2024 CN / 2026 Global,HEAD_BREAKOUT,"Life Sim ceiling-breaker; avatar/home/pet/hobby/social; best direct benchmark for long-term cozy ownership","Monthly downloads; monthly IAP revenue; paid vs organic; top geos; version/liveops; launch-to-current"
P0,Direct Cozy/Farming,My Garden Tale / 我的花园世界,Xiamen Linbei,2025,BLACK_HORSE,"Simple planting/order entry but deep VIP/collection/social/liveops; China mini-game + app breakout; very relevant to female cozy sim","Monthly downloads; monthly IAP; mini-game rank if available; paid vs organic; ad creative count; top geos; event nodes"
P0,Direct Cozy/Decor,My Leisure Time / 我的休闲时光,Skydreams,2024 CN / 2025 Global,BLACK_HORSE,"Small-team/low-cost decor-life sim with unusually stable long-tail revenue curve; strong studio-fit benchmark","Monthly downloads/revenue from launch; organic share; paid volume; country split; anniversary/version nodes"
P0,Direct Cozy/Hands-on,Good Coffee Great Coffee,TapBlaze,2025,NEW_BREAKOUT,"Hands-on action + customers + shop decor + story; strong download/organic signal but monetization depth uncertain: good contrast case","Monthly downloads/revenue; organic share; paid volume; ratings/reviews; country split; version/event nodes"
P0,Direct Cozy/Farming,The Cozy Florist,Riftsky Games,2025,BLACK_HORSE,"New floral cozy farming title with multi-million installs; direct reference for flowers, collection, soft art and low-pressure loop","Monthly downloads/revenue; organic share; paid volume; geo mix; creatives; version nodes"
P0,Direct Cozy/Farming,Big Farm Homestead,Goodgame Studios / Stillfront,2026,NEW_BIG_PUBLISHER,"Recent farming entrant already monetizing at meaningful scale; useful for modernizing classic farm loop","Monthly downloads/revenue; paid vs organic; geo mix; event cadence; CPI/creative proxy if available"
P0,Direct Cozy/Idle Tycoon,Office Cat: Idle Tycoon,TREEPLLA / Neptune,2024,BLACK_HORSE,"Tiny development team, cute isometric art, 10M+ scale and strong revenue; closest proof that a compact cozy tycoon can monetize","Monthly downloads/revenue; paid vs organic; US/KR/JP split; ad creatives; liveops; RPD"
P1,Direct Cozy/Management,Hamster Inn,HyperBeard,2024,ORGANIC_STYLE,"Cute hotel-management/care loop with millions of downloads; useful for art/organic acquisition vs revenue-depth comparison","Monthly downloads/revenue; organic share; paid volume; ratings; geo mix"
P1,Direct Cozy/Narrative,Dustbunny: Emotions to Plants,Antientropic,2024,NICHE_BLACK_HORSE,"Smaller scale but unusually strong identity: procedural plants + emotional narrative + tactile micro-actions; useful for handcrafted/AI-native narrative direction","Monthly downloads/revenue; organic share; review velocity; country split; minimal paid signal"
P1,Direct Cozy/Cafe,Campfire Cat Cafe,Skyborne Games,2023,STYLE_BASELINE,"Animal cafe + decoration + idle + travel expansion; useful for cozy content ladder and IP asset reuse","Monthly downloads/revenue; organic share; paid volume; event cadence"
