product,market,platform,version,release_date,functional_summary,content_type,specificity,evidence_type,source
Gossip Harbor,US,iOS,3.99.0,2026-09-22,Weekly episode + Nova Morel themed exploration event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.98.5,2026-09-16,Weekly episode + Mid-Autumn themed mystery event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.98.0,2026-09-08,Weekly episode + Mid-Autumn themed mystery event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.97.0,2026-08-26,Weekly episode + raccoon wasteland themed event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.96.0,2026-08-12,Weekly episode + dragon rescue themed event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.95.0,2026-07-29,Weekly episode + Dollhouse of Dreams event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.94.5,2026-07-24,Weekly episode + Ancient Egypt event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.94.0,2026-07-17,Weekly episode + Ancient Egypt event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.93.0,2026-07-03,Weekly episode + Global Goblet event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.92.5,2026-06-24,Weekly episode + Global Goblet event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.92.0,2026-06-18,Weekly episode + Global Goblet event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.91.0,2026-06-05,Weekly episode + Fair Frost Princess event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.90.0,2026-05-13,Weekly episode + Fair Frost Princess event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.89.0,2026-04-29,Weekly episode + cowboy themed event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.88.0,2026-04-15,Weekly episode + Easter themed event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.87.0,2026-04-01,Weekly episode + Easter themed event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.86.0,2026-03-18,Weekly episode + Swan Lake event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.85.0,2026-03-04,Weekly episode + Swan Lake event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.84.0,2026-02-11,Weekly episode + Palace of Prosperity event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.83.0,2026-01-28,Weekly episode + Palace of Prosperity event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Gossip Harbor,US,iOS,3.82.0,2026-01-14,Weekly episode + Moletopia event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/gossip-harbor-merge-story/id1623318294
Township,US,iOS,39.0.2,2026-09-17,Western/Halloween passes + adventures + regatta + new match-3 element + buildings,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/township/id638689075
Township,US,iOS,39.0.0,2026-09-15,Western/Halloween passes + adventures + regatta + new match-3 element + buildings,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/township/id638689075
Township,US,iOS,38.1.1,2026-08-31,Harvest card collection + passes + adventures + regatta + building,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/township/id638689075
Township,US,iOS,38.1.0,2026-08-24,Harvest card collection + passes + adventures + regatta + building,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/township/id638689075
Township,US,iOS,38.0.1,2026-08-12,Harvest card collection + passes + adventures + regatta + building,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/township/id638689075
Township,US,iOS,37.1.0,2026-07-14,Beach collection + Voyage/Summer passes + adventures + regatta + building,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/township/id638689075
Township,US,iOS,37.0.2,2026-07-02,Beach collection + Voyage/Summer passes + adventures + regatta + building,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/township/id638689075
Township,US,iOS,37.0.1,2026-06-26,Beach collection + Voyage/Summer passes + adventures + regatta + building,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/township/id638689075
Hay Day,US,iOS,1.72.86,2026-08-18,Faster truck-order flow + helping indicators + extra Farm Pass rewards,QOL+MONETIZATION,HIGH,OBSERVED,https://apps.apple.com/us/app/hay-day/id506627515
Hay Day,US,iOS,1.72.84,2026-08-10,Faster truck-order flow + helping indicators + extra Farm Pass rewards,QOL+MONETIZATION,HIGH,OBSERVED,https://apps.apple.com/us/app/hay-day/id506627515
Hay Day,US,iOS,1.71.128,2026-06-17,14th anniversary events + Boat Orders test + Beach Expansion,CONTENT+EXPERIMENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/hay-day/id506627515
Hay Day,US,iOS,1.71.125,2026-06-15,14th anniversary events + Boat Orders test + Beach Expansion,CONTENT+EXPERIMENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/hay-day/id506627515
Hay Day,US,iOS,1.70.97,2026-05-11,Boat/Truck reward experiments + early-game improvements + QoL,EXPERIMENT+FTUE+QOL,HIGH,OBSERVED,https://apps.apple.com/us/app/hay-day/id506627515
Hay Day,US,iOS,1.70.96,2026-04-08,Boat/Truck reward experiments + early-game improvements + QoL,EXPERIMENT+FTUE+QOL,HIGH,OBSERVED,https://apps.apple.com/us/app/hay-day/id506627515
Hay Day,US,iOS,1.70.83,2026-03-30,Boat/Truck reward experiments + early-game improvements + QoL,EXPERIMENT+FTUE+QOL,HIGH,OBSERVED,https://apps.apple.com/us/app/hay-day/id506627515
Big Farm Homestead,US,iOS,1.0.6384,2026-09-09,Deepwoods 4-week festival + Festival Pass + Dino Drama return,EVENT+PASS,HIGH,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,1.0.6338,2026-09-07,Deepwoods 4-week festival + Festival Pass + Dino Drama return,EVENT+PASS,HIGH,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,1.0.6192,2026-08-24,1st anniversary Fireworks Festival + guild upgrade + QoL,EVENT+SOCIAL+QOL,HIGH,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,1.0.5908,2026-07-29,Chapter 11 + anniversary pass + Crab Control event,CONTENT+PASS+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,1.0.5819,2026-07-20,Vacation Vibes festival + 7-day Claire's Picnic event,EVENT+PASS,HIGH,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,1.0.5707,2026-07-17,Vacation Vibes festival + 7-day Claire's Picnic event,EVENT+PASS,HIGH,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,1.0.5429,2026-06-29,Fireworks + Dino Drama + County Fair collection,EVENT+COLLECTION,HIGH,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,1.0.5291,2026-06-17,Stars & Lights Season Pass + balancing/fixes,PASS+QOL,HIGH,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,1.0.5162,2026-06-15,Stars & Lights Season Pass + balancing/fixes,PASS+QOL,HIGH,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,1.0.4813,2026-05-21,Fishing expansion + 14-day Crab Control event,CONTENT+EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,1.0.4579,2026-05-07,Heart of the Herd + Claire's Picnic events,EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,1.0.4539,2026-05-06,Heart of the Herd + Claire's Picnic events,EVENT,HIGH,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,1.0.4351,2026-04-16,Season Festival 5 + market specials,PASS+OFFER,HIGH,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,1.0.4233,2026-04-01,Season Festival 4 + Heart of the Herd + Dino Drama,EVENT+PASS,HIGH,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,1.0.4196,2026-03-26,Season Festival 4 + Heart of the Herd + Dino Drama,EVENT+PASS,HIGH,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
Big Farm Homestead,US,iOS,1.0.3971,2026-03-09,Bug fixes and optimizations,FIX,LOW,OBSERVED,https://apps.apple.com/us/app/big-farm-homestead/id6742455668
The Cozy Florist,US,iOS,1.0.66,2026-09-24,Gameplay feature/user-experience optimization,QOL,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.65,2026-09-21,Gameplay ease-of-use optimization,QOL,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.64,2026-09-17,Gameplay feature/user-experience optimization,QOL,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.63,2026-09-11,New game content and events,CONTENT+EVENT,MEDIUM,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.62,2026-09-02,New game content and events,CONTENT+EVENT,MEDIUM,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.61,2026-08-29,Feature/user-experience optimization,QOL,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.60,2026-08-27,Feature/user-experience optimization,QOL,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.59,2026-08-26,Feature/user-experience optimization,QOL,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.58,2026-08-21,Feature/user-experience optimization,QOL,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.56,2026-08-13,Gameplay-affecting function optimization,QOL,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.53,2026-08-07,Gameplay-affecting function optimization,QOL,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.52,2026-08-05,Gameplay-affecting function optimization,QOL,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
The Cozy Florist,US,iOS,1.0.51,2026-08-02,Gameplay-affecting function optimization,QOL,LOW,OBSERVED,https://apps.apple.com/us/app/the-cozy-florist/id6754878717
