product_family,entity_scope,month,total_downloads,ios_downloads,google_play_downloads,revenue_usd,paid_downloads_proxy,organic_downloads,organic_share,top_5_countries,ad_creative_count,rating,review_count,major_version,liveops_event,ip_collab,organic_paid_ratio,rpd_usd,download_peak_ratio,revenue_peak_ratio,revenue_persistence,3m_revenue_carryover,data_status,source,notes
Heartopia,Global,,,,,,,,,,,,,,,,,,,,,,pending,Diandian,
Township,Global,,,,,,,,,,,,,,,,,,,,,,pending,Diandian,
Hay Day,Global,,,,,,,,,,,,,,,,,,,,,,pending,Diandian,
我的花园世界,CN+TW/HK/MO split required,,,,,,,,,,,,,,,,,,,,,,pending_entity_split,Diandian,
The Cozy Florist,Regional packages split required,,,,,,,,,,,,,,,,,,,,,,pending_entity_split,Diandian,
Big Farm Homestead,Global,,,,,,,,,,,,,,,,,,,,,,pending,Diandian,
Good Pizza Great Pizza,Global,,,,,,,,,,,,,,,,,,,,,,pending,Diandian,
My Perfect Hotel,Global,,,,,,,,,,,,,,,,,,,,,,pending,Diandian,
Eatventure,Global,,,,,,,,,,,,,,,,,,,,,,pending,Diandian,
Office Cat,Global,,,,,,,,,,,,,,,,,,,,,,pending,Diandian,
Rent Please Landlord Sim,Global,,,,,,,,,,,,,,,,,,,,,,pending,Diandian,
Resortopia,Global,,,,,,,,,,,,,,,,,,,,,,pending,Diandian,
Animal Restaurant,Global,,,,,,,,,,,,,,,,,,,,,,pending,Diandian,
Cat Snack Bar,Global,,,,,,,,,,,,,,,,,,,,,,pending,Diandian,
疯狂水世界 / Wild Water World,CN+Global split required,,,,,,,,,,,,,,,,,,,,,,pending_entity_split,Diandian,
QQ经典农场,QQ/WeChat mini-game,,,,,,,,,,,,,,,,,,,,,,not_applicable_native_stores,Diandian,No native App Store or Google Play entity
向往的生活,2025 BeeFun edition,,,,,,,,,,,,,,,,,,,,,,pending_entity_verification,Diandian,Do not merge with 2023 edition
时尚百货城,CN iOS+Android split required,,,,,,,,,,,,,,,,,,,,,,pending_entity_split,Diandian,
浪漫餐厅 / Gossip Harbor,CN+Global split required,,,,,,,,,,,,,,,,,,,,,,pending_entity_split,Diandian,
