product,market,platform,month,downloads,revenue_usd,calendar_rpd,downloads_mom,revenue_mom,evidence_label,source,guardrail
Township,United States,iOS,2026-08,1942000,23815000,12.26,-1.1%,-19.7%,SOURCE + CALCULATED,https://socialpeta.com/zh/app-store/638689075,"Store-specific SocialPeta estimate; calendar RPD is same-month revenue/downloads, not cohort ARPI/LTV"
Township,United States,iOS,2026-07,1963600,29657534,15.10,baseline,baseline,CALCULATED FROM SOURCE MOM,https://socialpeta.com/zh/app-store/638689075,"Back-calculated from Aug values and published MoM; rounding applies"
Township,United States,Google Play,2026-08,3900000,20300000,5.21,-45.8%,19.6%,SOURCE + CALCULATED,https://socialpeta.com/en/google-play/com.playrix.township,"Store-specific SocialPeta estimate; calendar RPD is same-month revenue/downloads, not cohort ARPI/LTV"
Township,United States,Google Play,2026-07,7195572,16973244,2.36,baseline,baseline,CALCULATED FROM SOURCE MOM,https://socialpeta.com/en/google-play/com.playrix.township,"Back-calculated from Aug values and published MoM; rounding applies"
Township,United States,iOS + Google Play combined,2026-08,5842000,44115000,7.55,-36.2%,-5.4%,CALCULATED / MATCHED PROVIDER+MARKET+MONTH,"https://socialpeta.com/zh/app-store/638689075; https://socialpeta.com/en/google-play/com.playrix.township","Summed same-provider US store rows; combined calendar RPD is not cohort ARPI/LTV/ROAS"
Township,United States,iOS + Google Play combined,2026-07,9159172,46630778,5.09,baseline,baseline,CALCULATED FROM SOURCE MOM,"https://socialpeta.com/zh/app-store/638689075; https://socialpeta.com/en/google-play/com.playrix.township","Back-calculated store rows then summed"
Hay Day,United States,iOS,2026-08,802000,10139000,12.64,0.1%,-9.5%,SOURCE + CALCULATED,https://socialpeta.com/zh/app-store/506627515,"Store-specific SocialPeta estimate; calendar RPD is same-month revenue/downloads, not cohort ARPI/LTV"
Hay Day,United States,iOS,2026-07,801199,11203315,13.98,baseline,baseline,CALCULATED FROM SOURCE MOM,https://socialpeta.com/zh/app-store/506627515,"Back-calculated from Aug values and published MoM; rounding applies"
Hay Day,United States,Google Play,2026-08,974000,4941000,5.07,-5.2%,-1.3%,SOURCE + CALCULATED,https://socialpeta.com/zh/google-play/com.supercell.hayday,"Store-specific SocialPeta estimate; calendar RPD is same-month revenue/downloads, not cohort ARPI/LTV"
Hay Day,United States,Google Play,2026-07,1027426,5006079,4.87,baseline,baseline,CALCULATED FROM SOURCE MOM,https://socialpeta.com/zh/google-play/com.supercell.hayday,"Back-calculated from Aug values and published MoM; rounding applies"
Hay Day,United States,iOS + Google Play combined,2026-08,1776000,15080000,8.49,-2.9%,-7.0%,CALCULATED / MATCHED PROVIDER+MARKET+MONTH,"https://socialpeta.com/zh/app-store/506627515; https://socialpeta.com/zh/google-play/com.supercell.hayday","Summed same-provider US store rows; combined calendar RPD is not cohort ARPI/LTV/ROAS"
Hay Day,United States,iOS + Google Play combined,2026-07,1828625,16209394,8.86,baseline,baseline,CALCULATED FROM SOURCE MOM,"https://socialpeta.com/zh/app-store/506627515; https://socialpeta.com/zh/google-play/com.supercell.hayday","Back-calculated store rows then summed"
