Requirement,Status,File,Coverage,Limitation,Next Action,Evidence Needed
Market/KPI,PARTIAL++,01_watchlist/PRIORITY8_CURRENT_PLATFORM_KPI_RECOVERY_v0.1_2026-09-25.csv,"Current-ish platform monthly estimates for Office Cat/Heartopia + current US daily Gossip Harbor snapshot","No normalized Sep-2026 US-only monthly D/IAP table for all Priority8","Acquire one-provider US monthly export","US monthly D/IAP by platform/title"
Art/Visual,PARTIAL+,02_art_style/FOCUS4_ANNOTATED_VISUAL_EVIDENCE_v0.2_2026-09-25.csv,"Focus4 annotated evidence","Broader current gameplay/event frames incomplete","Capture current frames","3-8+ frames/title"
Core Gameplay,PARTIAL+,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v2.0_2026-09-25.html,"Priority loops classified","Current first-30s recordings incomplete","Normalize first 30 seconds","Current video/device captures"
FTUE,PARTIAL+,09_reports/PRIORITY8_FTUE_NEW_PLAYER_COVERAGE_MATRIX_v1.0_2026-09-25.csv,"Timed/sequence/gate coverage","Current exact T+0→30m + D1/D3/D7/D14 incomplete","Timestamp current routes","Current captures/account evidence"
Progression/Meta/Side,PARTIAL+,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v2.0_2026-09-25.html,"Taxonomy + known gates","Some guide-derived","Direct validate key gates","Current account/video evidence"
Economy/Monetization,PARTIAL++,09_reports/PRIORITY8_REVIEW_VERSION_RISK_RECOVERY_v0.2_2026-09-25.csv,"Current monetization-risk signals + first-party pass architecture","Offer segmentation/frequency/conversion missing","Capture in-game offer triggers","Trigger/price/duration/frequency/segment"
LiveOps/Event Calendar,PARTIAL++,06_ua_liveops/PRIORITY8_CURRENT_LIVEOPS_EVENT_CALENDAR_v0.3_2026-09-25.csv,"Current Sep-2026 overlap/cadence for four titles","Not all 8 have complete start/end/participation","Complete normalized calendar","Start/end/overlap/participation"
UA/Creative/Promotion,PARTIAL++,06_ua_liveops/PRIORITY8_UA_CREATIVE_PERFORMANCE_RECOVERY_v0.4_2026-09-25.csv,"Existing current creative/source/performance recovery","Absolute spend/CPI/CTR/CVR and same-provider 30/90/180 incomplete","Licensed/provider refresh","Spend and normalized creative histories"
Reviews/Versions,PARTIAL++,09_reports/PRIORITY8_REVIEW_VERSION_RISK_RECOVERY_v0.2_2026-09-25.csv,"Current review clusters + first-party live-quality incidents","No complete review corpus with exact version per review","Export/normalize review history","Timestamp/rating/version/theme"
Trend/Cause,DONE/PARTIAL,09_reports/SIMS_19_GAME_COMPETITOR_TREND_CAUSE_ANALYSIS_v1.0_2026-09-24.md,"No unsupported causal upgrade","Matched current US source mix blocks E2+","Crosscheck matched attribution","US paid/organic/source mix"
Production Burden,PARTIAL++,09_reports/PRIORITY8_PRODUCTION_BURDEN_EVIDENCE_v0.3_2026-09-25.csv,"Existing team/process/reuse evidence","Most exact current title team/asset-hours/QA/outsource TBD","Find title-level evidence","Team size + asset-hours + QA/outsource"
Benchmark-by-Objective,DONE,09_reports/BENCHMARK_BY_OBJECTIVE_v1.2_2026-09-25.csv,"Adds liveops overlap, monetization fairness and CRM cadence objectives","US acquisition efficiency incomplete","Maintain by objective","US acquisition KPI"
Ops Cat Product Translation,DONE/PARTIAL,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v2.0_2026-09-25.html,"Adds ad-pressure, event-overlap and CRM guardrails","Needs prototype telemetry","Run vertical slice","FTUE + D1/D7 + monetization exposure"
US/Global,DONE/PARTIAL,01_watchlist/PRIORITY8_CURRENT_PLATFORM_KPI_RECOVERY_v0.1_2026-09-25.csv,"Explicit US vs Global separation","Current US normalized table incomplete","Keep scope separated","US monthly + global secondary"
Evidence/Status Audit,DONE,09_reports/STATUS_AUDIT_v2.0_2026-09-25.csv,"Explicit v2.0 coverage","Material gaps remain","Update each round","Source-level evidence"
