"product_family","market_scope","platform","store_id","official_title","publisher","store_launch_month","formal_launch_month","source_url","status","notes"
"Office Cat","global","ios","6471960010","Office Cat: Idle Tycoon Games","Neptune Company","2024-05","","https://apps.apple.com/us/app/id6471960010","verified","Taiwan storefront official title: 貓咪辦公室：放置大亨."
"Office Cat","global","android","com.tree.idle.cat.office","Office Cat: Idle Tycoon Games","NEPTUNE(TREEPLLA)","2024-05","","https://play.google.com/store/apps/details?id=com.tree.idle.cat.office","verified","Google Play embedded first-release field: 2024-05-03."
"Rent Please!","global","ios","1645842987","Rent Please! Landlord Sim","Shimmer Games Co., Ltd.","2022-10","","https://apps.apple.com/us/app/id1645842987","verified","iOS bundle com.shimmergames.tenants.gb.en differs from Android package."
"Rent Please!","global","android","com.shimmergames.tenants.gp","Rent Please! Landlord Sim","ShimmerGames","2022-10","","https://play.google.com/store/apps/details?id=com.shimmergames.tenants.gp","verified","Developer legal entity shown by Google Play: 成都微光互动信息科技有限公司."
"Animal Restaurant","global","ios","1460564684","animal restaurant","Chengdu Zhuojin Information Technology Co., Ltd.","2019-09","","https://apps.apple.com/us/app/id1460564684","verified","Taiwan storefront official title: 動物餐廳."
"Animal Restaurant","global","android","droidhang.twgame.restaurant","Animal Restaurant","DH-Publisher","2019-09","","https://play.google.com/store/apps/details?id=droidhang.twgame.restaurant","verified","Google Play embedded first-release field: 2019-09-11."
"Animal Restaurant","china","ios","1479366779","动物餐厅","Chengdu Zhuojin Information Technology Co., Ltd.","2019-09","","https://apps.apple.com/cn/app/id1479366779","verified_separate_regional_entity","China bundle inland.twgame.restaurant; keep separate from global entities."
"Big Farm Homestead","global","ios","6742455668","Big Farm Homestead","Stillfront Germany GmbH","2025-11","","https://apps.apple.com/us/app/id6742455668","verified","iOS launched later than Android; do not backfill pre-2025-11 iOS months with zero."
"Big Farm Homestead","global","android","com.newmoonproduction.bigfarmhomestead","Big Farm Homestead","Goodgame Studios","2025-06","","https://play.google.com/store/apps/details?id=com.newmoonproduction.bigfarmhomestead","verified","Google Play embedded first-release field: 2025-06-16."
"Resortopia","global","ios","1580026385","Resortopia","Chengdu Zhuojin Information Technology Co., Ltd.","2021-10","","https://apps.apple.com/us/app/id1580026385","verified","Hong Kong and Taiwan storefront official title: 烏冬的旅店."
"Resortopia","global","android","global.hotel.twgame","Resortopia","DH-Publisher","2021-10","","https://play.google.com/store/apps/details?id=global.hotel.twgame","verified","Google Play embedded first-release field: 2021-10-19."
"Cat Snack Bar","global","ios","6443895159","Cat Snack Bar: Food Games","Neptune Company","2023-01","","https://apps.apple.com/us/app/id6443895159","verified","Do not merge with Cat Snack Bar: City Tycoon or Triple Match."
"Cat Snack Bar","global","android","com.tree.idle.catsnackbar","Cat Snack Bar: Cute Food Games","NEPTUNE(TREEPLLA)","2023-01","","https://play.google.com/store/apps/details?id=com.tree.idle.catsnackbar","verified","Do not substitute com.tree.idle.cat.city or com.tree.puzzle.triplematch."
"Heartopia","china","ios","1561903786","心动小镇","X.D. Network Inc.","2024-07","2024-07","https://apps.apple.com/cn/app/id1561903786","verified","China product entity; keep separate from global IDs."
"Heartopia","global","ios","6746151928","Heartopia","XD Entertainment Co., Ltd.","2026-01","2026-01","https://apps.apple.com/us/app/id6746151928","verified","Global product entity; formal launch 2026-01-07."
"Heartopia","global","android","com.xd.xdtglobal.gp","Heartopia","XD","2025-12","2026-01","https://play.google.com/store/apps/details?id=com.xd.xdtglobal.gp","prelaunch_listing_formal_launch_verified","2025-12-23 listing precedes 2026-01 formal global launch; soft-launch or preload nature not confirmed by first-party text."
"Township","global","ios","638689075","Township","PLR Worldwide Sales Limited","2013-10","","https://apps.apple.com/us/app/id638689075","verified","Traditional Chinese storefront title: 夢想小鎮 (Township)."
"Township","global","android","com.playrix.township","Township","Playrix","2013-11","","https://play.google.com/store/apps/details?id=com.playrix.township","verified","Keep separate from the current China App Store entity."
"Township","china","ios","1612426573","梦想城镇 - Township","Beijing Wei Wo Le Yuan Information and Technology Co., Ltd","2022-04","","https://apps.apple.com/cn/app/id1612426573","verified_separate_regional_entity","This 2022 China listing is not the 2013 global product launch."
"Hay Day","global","ios","506627515","Hay Day","Supercell Oy","2012-06","2012-06","https://apps.apple.com/us/app/id506627515","verified","Canada beta was 2012-05; formal global launch was 2012-06-21."
"Hay Day","global","android","com.supercell.hayday","Hay Day","Supercell Oy","2013-11","","https://play.google.com/store/apps/details?id=com.supercell.hayday","verified","Android listing starts after the 2012 iOS global launch."
"Hay Day","china","ios","6448143424","卡通农场","Shenzhen Tencent Tianyou Technology Ltd","2024-05","","https://apps.apple.com/cn/app/id6448143424","verified_separate_regional_entity","Current China App Store entity; do not use as the global 2012 starting point."
"The Cozy Florist","global_us","ios","6754878717","The Cozy Florist","RiftSky Games Co., Limited","2025-12","","https://apps.apple.com/us/app/id6754878717","verified_store_scope_only","Confirms US iOS availability; no first-party proof of all-country same-day launch."
"The Cozy Florist","global_gb","android","com.riftsky.mhg.gb.gp","The Cozy Florist","RiftSky Games Co., Limited","2025-11","","https://play.google.com/store/apps/details?id=com.riftsky.mhg.gb.gp&hl=en-GB","verified_store_scope_only","GB package first released 2025-11-28; zd/kr/ru packages must not be merged without publisher mapping."
"The Cozy Florist","region_code_zd_unresolved","android","com.riftsky.mhg.zd.gp","The Cozy Florist","RiftSky Games Co., Limited","","","https://play.google.com/store/apps/details?id=com.riftsky.mhg.zd.gp","package_verified_metadata_incomplete","Distinct regional package; exact market scope, localized title, and launch month require confirmation. Do not merge by default."
"The Cozy Florist","south_korea","android","com.riftsky.mhg.kr.gp","The Cozy Florist","RiftSky Games Co., Limited","","","https://play.google.com/store/apps/details?id=com.riftsky.mhg.kr.gp","package_verified_metadata_incomplete","Distinct KR package; localized title and launch month require confirmation. Do not merge by default."
"The Cozy Florist","russia","android","com.riftsky.mhg.ru.gp","The Cozy Florist","RiftSky Games Co., Limited","","","https://play.google.com/store/apps/details?id=com.riftsky.mhg.ru.gp","package_verified_metadata_incomplete","Distinct RU package; localized title and launch month require confirmation. Do not merge by default."
"Good Pizza, Great Pizza","global","ios","911121200","Good Pizza, Great Pizza","TAPBLAZE, LLC","2014-12","2014-12","https://apps.apple.com/us/app/id911121200","verified","Official mobile product launch: 2014-12-01; US iOS metadata: 2014-12-02."
"Good Pizza, Great Pizza","global","android","com.tapblaze.pizzabusiness","Good Pizza, Great Pizza","TAPBLAZE, LLC","2015-02","2014-12","https://play.google.com/store/apps/details?id=com.tapblaze.pizzabusiness","verified_listing_after_formal_launch","Current Google Play listing begins 2015-02; product formal launch was 2014-12."
"Good Pizza, Great Pizza","china","ios","6736427807","可口的比萨，美味的比萨","Jiawen Times","2024-12","","https://apps.apple.com/cn/app/id6736427807","verified_separate_regional_entity","China iOS entity; authorization/publishing relationship to the global TapBlaze entity remains unverified."
"My Perfect Hotel","global","ios","1635760774","My Perfect Hotel","SayGames LTD","2022-07","","https://apps.apple.com/us/app/id1635760774","verified","US iOS starts 2022-07; Taiwan iOS starts 2022-08."
"My Perfect Hotel","global","android","com.master.hotelmaster","My Perfect Hotel","SayGames LTD","2022-04","","https://play.google.com/store/apps/details?id=com.master.hotelmaster","verified","Developed by Redux.Games; published by SayGames."
"Eatventure","global","ios","1600871388","Eatventure","Lessmore GmbH","2022-02","","https://apps.apple.com/us/app/id1600871388","verified","No verified official Chinese title."
"Eatventure","global","android","com.hwqgrhhjfd.idlefastfood","Eatventure","Lessmore GmbH","2022-02","","https://play.google.com/store/apps/details?id=com.hwqgrhhjfd.idlefastfood","verified","Do not confuse with unrelated com.tealseed.eatventure."
"我的花园世界","china","ios","6746321359","我的花园世界","厦门麟贝互娱科技有限公司","2025-08","","https://apps.apple.com/cn/app/id6746321359","verified","China iOS bundle cn.lbwdhysj.gf.ios."
"我的花园世界","taiwan_hong_kong_macau","ios","6751560944","我的花園世界","FLORAL GAMES LIMITED","2025-10","","https://apps.apple.com/tw/app/id6751560944","date_conflict","Apple Lookup says 2025-10; visible version history reaches 2025-09. Preserve both and use the data vendor's first observed month."
"我的花园世界","taiwan_hong_kong_macau","android","com.floralgames.hjxp","我的花園世界 - 玩遊戲送鮮花","FLORAL GAMES LIMITED","","","https://play.google.com/store/apps/details?id=com.floralgames.hjxp","launch_month_unknown","Google Play initial release month not confirmed."
"我的花园世界","vietnam","android","com.myflower.gp","Thế Giới Hoa Viên Của Tôi","GEN Z MEDIA COMPANY LIMITED","","","https://play.google.com/store/apps/details?id=com.myflower.gp","family_mapping_unconfirmed","Page copy uses My Garden World; publisher family mapping to the Taiwan/HK/Macau package still requires vendor confirmation."
"疯狂水世界 / Wild Water World","china","ios","6757172630","疯狂水世界","益世界网络科技（上海）有限公司","2026-01","2026-01","https://apps.apple.com/cn/app/id6757172630","verified","China iOS releaseDate 2026-01-21. Regulatory operator is 上海游贝信息科技有限公司."
"疯狂水世界 / Wild Water World","china","android","taptap:790816","疯狂水世界","广州益玩网络科技有限公司","2026-01","2026-01","https://www.taptap.cn/app/790816","verified_non_google_store","Official TapTap listing gives 2026-01-08; no Google Play package for the China entity."
"疯狂水世界 / Wild Water World","global","ios","6780387121","Wild Water World","Hong Kong Just Game Technology Limited","2026-09","2026-09","https://apps.apple.com/ca/app/id6780387121","verified","Global iOS releaseDate 2026-09-01."
"疯狂水世界 / Wild Water World","global","android","com.iyagames.flotshelter","Wild Water World","Hong Kong Just Game Technology Limited","2026-08","2026-09","https://play.google.com/store/apps/details?id=com.iyagames.flotshelter","verified_listing_before_formal_launch","Google Play listing 2026-08-31; global iOS/formal month 2026-09."
"QQ经典农场","china","qq_wechat_minigame","","QQ经典农场","深圳市腾讯计算机系统有限公司","","2026-02","https://apps.apple.com/cn/iphone/story/id1857606814","no_native_store_listing","Runs inside QQ/WeChat mini-game containers; native iOS/Google Play IDs do not exist. Use N/A, not zero, for native download fields."
"向往的生活","china","ios","6751826673","向往的生活官方游戏","深圳市必凡娱乐科技有限公司","2025-10","","https://apps.apple.com/cn/app/id6751826673","verified_separate_product","Current 2025 BeeFun merge/management product; never merge with the different 2023 Mango product."
"时尚百货城","china","ios","6752632961","时尚百货城","Shenzhen Tomato of Love Technology Co., Ltd","2026-01","","https://apps.apple.com/cn/app/id6752632961","date_conflict","Apple Lookup says 2026-01; visible version history reaches 2025-12. Preserve both."
"时尚百货城","taiwan_hong_kong_macau","android","com.tomato.and.hkssbhc","時尚百貨城","Luminora Interactive Group Limited","","","https://play.google.com/store/apps/details?id=com.tomato.and.hkssbhc","launch_month_unknown","Google Play initial release month not confirmed; page copy names 积木互动娱乐股份有限公司 as agent."
"浪漫餐厅 / Gossip Harbor","global","ios","1623318294","Gossip Harbor®: Merge & Story","Microfun Limited","2022-07","","https://apps.apple.com/us/app/id1623318294","verified","Global iOS bundle com.mergegame.icookie."
"浪漫餐厅 / Gossip Harbor","global","android","com.mergegames.gossipharbor","Gossip Harbor: Merge & Story","Microfun Limited","2022-09","","https://play.google.com/store/apps/details?id=com.mergegames.gossipharbor","verified","Global Android listing begins 2022-09-09."
"浪漫餐厅 / Gossip Harbor","china","ios","6472696051","浪漫餐厅™-Gossip Harbor","Microfun Cookie Limited","2024-04","","https://apps.apple.com/cn/app/id6472696051","verified_separate_regional_entity","China bundle com.mf.cookie.cn; aggregate only at family layer."
