scope,timestamp,observed_action_or_unlock,resource_or_offer,evidence_label,source,benchmark_read,guardrail
Historical iOS deconstruction,T+0,"Starts with $50 at reception; no explicit tutorial; immediately serves first guest","Cash $50",OBSERVED / HISTORICAL 2024 THIRD-PARTY,https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/,"Teach the core through direct interaction","Current 2026 flow must be re-captured"
Historical iOS deconstruction,~first minute,"Guest checks out; player cleans 3 spots; cleaning task ~6 sec","Cash/tip",OBSERVED / HISTORICAL 2024 THIRD-PARTY,https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/,"Short physical satisfying job","Historical"
Historical iOS deconstruction,T+1:46,"Cleaner option appears","Cleaner automation",OBSERVED / HISTORICAL 2024 THIRD-PARTY,https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/,"Manual chore before automation","Current timing TBD"
Historical iOS deconstruction,T+2:19,"First rewarded-ad cash box","Rewarded ad → $100",OBSERVED / HISTORICAL 2024 THIRD-PARTY,https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/,"Value proof before recorded ad exposure","Historical"
Historical iOS deconstruction,T+4:20,"Cleaner hired","$80 cleaner",OBSERVED / HISTORICAL 2024 THIRD-PARTY,https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/,"First automation closes the learned chore loop","Historical"
Historical iOS deconstruction,T+5:00,"Second rewarded ad; toilet + utility progression","Rewarded ad + facility unlock",OBSERVED / HISTORICAL 2024 THIRD-PARTY,https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/,"Second job type expands the loop","Historical"
Historical iOS deconstruction,T+9:26,"Automatic receptionist unlocked","Receptionist automation",OBSERVED / HISTORICAL 2024 THIRD-PARTY,https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/,"Second repeated role becomes automated","Current timing TBD"
Historical iOS deconstruction,T+11:29,"Hotel level 1 complete; token shortfall appears","Tokens / player upgrade",OBSERVED / HISTORICAL 2024 THIRD-PARTY,https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/,"Meta currency after the first operating loop","Historical"
Historical iOS deconstruction,T+11:50,"No Ads Pack surfaced","No Ads",OBSERVED / HISTORICAL 2024 THIRD-PARTY,https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/,"Persistent monetization late in first session","Current first exposure TBD"
Historical iOS deconstruction,T+12:00,"3 rooms; toilet; utility room; cleaner + receptionist; 5 ads watched","5 watched ads",OBSERVED / HISTORICAL 2024 THIRD-PARTY,https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/,"Dense 12-minute progression","Do not copy 5 ads/12m"
Historical system staging,Hotel Lv3,"Daily Quests appear","Tokens",OBSERVED / HISTORICAL 2024 THIRD-PARTY,https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/,"Delay mission UI until core operation is learned","Current unlock TBD"
Historical system staging,Hotel Lv4,"Cloud Travel unlocks","Tasks → tokens / premium rewards",OBSERVED / HISTORICAL 2024 THIRD-PARTY,https://arpubrothers.com/blog/my-perfect-hotel-arcade-idle-deconstruction/,"Meta layer staged behind core competence","Current unlock TBD"
