version,date,raw_note,evidence_label,source,guardrail
1.0.37,2026-05-18,"Optimized certain in-game features and user experience","SOURCE / APP STORE VERSION HISTORY","https://apps.apple.com/us/app/the-cozy-florist/id6754878717","Visible history only"
1.0.45,2026-07-03,"fix some bugs","SOURCE / APP STORE VERSION HISTORY","https://apps.apple.com/us/app/the-cozy-florist/id6754878717","Visible history only"
1.0.50,2026-07-24,"Optimized functions that affect the gameplay","SOURCE / APP STORE VERSION HISTORY","https://apps.apple.com/us/app/the-cozy-florist/id6754878717","Visible history only"
1.0.51,2026-08-02,"Optimized functions that affect the gameplay","SOURCE / APP STORE VERSION HISTORY","https://apps.apple.com/us/app/the-cozy-florist/id6754878717","Visible history only"
1.0.52,2026-08-05,"Optimized functions that affect the gameplay","SOURCE / APP STORE VERSION HISTORY","https://apps.apple.com/us/app/the-cozy-florist/id6754878717","Visible history only"
1.0.53,2026-08-07,"Optimized functions that affect the gameplay","SOURCE / APP STORE VERSION HISTORY","https://apps.apple.com/us/app/the-cozy-florist/id6754878717","Visible history only"
1.0.56,2026-08-13,"Optimized functions that affect the gameplay","SOURCE / APP STORE VERSION HISTORY","https://apps.apple.com/us/app/the-cozy-florist/id6754878717","Visible history only"
1.0.58,2026-08-21,"Optimized certain in-game features and user experience","SOURCE / APP STORE VERSION HISTORY","https://apps.apple.com/us/app/the-cozy-florist/id6754878717","Visible history only"
1.0.59,2026-08-26,"Optimized certain in-game features and user experience","SOURCE / APP STORE VERSION HISTORY","https://apps.apple.com/us/app/the-cozy-florist/id6754878717","Visible history only"
1.0.60,2026-08-27,"Optimized certain in-game features and user experience","SOURCE / APP STORE VERSION HISTORY","https://apps.apple.com/us/app/the-cozy-florist/id6754878717","Visible history only"
1.0.61,2026-08-29,"Optimized certain in-game features and user experience","SOURCE / APP STORE VERSION HISTORY","https://apps.apple.com/us/app/the-cozy-florist/id6754878717","Visible history only"
1.0.62,2026-09-02,"Added new game content and events","SOURCE / APP STORE VERSION HISTORY","https://apps.apple.com/us/app/the-cozy-florist/id6754878717","Repeated notes do not prove feature first-launch"
1.0.63,2026-09-11,"Added new game content and events","SOURCE / APP STORE VERSION HISTORY","https://apps.apple.com/us/app/the-cozy-florist/id6754878717","Repeated notes do not prove feature first-launch"
1.0.64,2026-09-17,"Optimized certain in-game features and user experience","SOURCE / APP STORE VERSION HISTORY","https://apps.apple.com/us/app/the-cozy-florist/id6754878717","Visible history only"
1.0.65,2026-09-22,"Optimized certain in-game features to improve ease of use","SOURCE / APP STORE VERSION HISTORY","https://apps.apple.com/us/app/the-cozy-florist/id6754878717","Visible history only"
1.0.66,2026-09-25,"Optimized certain in-game features and user experience","SOURCE / APP STORE VERSION HISTORY","https://apps.apple.com/us/app/the-cozy-florist/id6754878717","Visible history only"
SUMMARY,2026-05-18→2026-09-25,"25 visible iOS versions; CALCULATED median gap 5.0d; mean gap 5.4d; 7 of 24 intervals are ≤3d","CALCULATED + SOURCE","https://apps.apple.com/us/app/the-cozy-florist/id6754878717","Summary uses full visible history; selected rows shown above"
