category,core_fantasy,first_30s_action,long_loop,meta_ceiling,ua_hook,content_cost,tech_cost,monetization_fit,small_studio_fit,key_references
Farming,"种植并经营自己的农场","Plant/Harvest","Produce→Process→Order→Expand","High","Harvest/Before-After/Collection","High","Medium","IAP+Pass+Event","Medium","Township;Hay Day;My Garden Tale"
Life Sim,"这是我的生活/家/角色","Move/Interact/Decorate","Home→Avatar→NPC→Hobby→Social","Very High","Avatar/Home/Pet/Story","Very High","High","Cosmetic+Collection+Pass","Low-Medium","Heartopia;Stardew Valley;Fields of Mistria"
Time Management,"快速服务顾客并升级店铺","Tap/Drag/Cook/Serve","Serve→Earn→Upgrade→New Venue","Medium-High","Speed/Satisfying/Fail-Recover","Medium","Low-Medium","IAP+IAA+Pass","High","Good Pizza;Cooking Diary"
Shop-Job Sim,"我真的在做这份工作","Stock/Fix/Cook/Clean","Work→Profit→Upgrade→Expand","Medium-High","Hands-on/Streamer/Surprise","Medium","Medium","Premium/IAP depending platform","High","TCG Card Shop;Supermarket Simulator;ReStory"
Idle Tycoon,"从小生意扩成大业务","Move/Tap/Collect","Earn→Automate→Upgrade→Expand","High","Fast Growth/Before-After","Medium","Low-Medium","IAA+IAP+Pass","Very High","My Perfect Hotel;Office Cat;Eatventure"
Decor-Restoration,"把破旧空间变成自己的理想空间","Clean/Mow/Place","Restore→Decorate→Unlock→Story","High","Before-After/Satisfying","Medium","Low-Medium","Cosmetic+Energy+Pass","Very High","My Leisure Time;Resortopia;Ops Cat"
City-Base Builder,"建设并扩张城镇/基地","Place/Build","Resource→Build→Capacity→Expand","Very High","Transformation/Scale","Very High","Medium-High","IAP+Pass+Resource","Low-Medium","Township;Timberborn"
Colony Sim,"管理一群人的生存和故事","Assign/Build","Needs→Jobs→Resources→Events","Very High","Emergent Story","Very High","High","Premium/DLC","Low","RimWorld;Oxygen Not Included"
Pet-Nurturing,"照顾并陪伴一个角色/生物","Feed/Care/Play","Care→Grow→Collect→Customize","Medium-High","Cute/Emotion/Collection","Medium","Low-Medium","Cosmetic+Collection+Pass","High","Animal cafe/pet sims"
Hybrid Sim+RPG,"轻经营入口后接角色长养成","Collect/Upgrade","Sim→Character→Gear→Event","Very High","Cute/Power Growth","High","Medium","IAP heavy","Medium","Go Go Muffin;Legend of Mushroom"
Hybrid Sim+SLG,"经营前台降低SLG门槛","Collect/Build","Sim→Card/Hero→Alliance→Map","Very High","Build/Survival/Expansion","Very High","High","IAP heavy+D2C","Low-Medium","Crazy Water World;Lands of Jail"
Hybrid Casual+Sim,"一个超轻动作接长期经营","One-finger satisfying","Core→Upgrade→Ownership→Event","High","3-second hook","Low-Medium","Low-Medium","IAA+IAP+Pass","Very High","All in Hole;My Perfect Hotel"
