"gap","product","market","platform_or_network","time_window","metric","value","evidence_label","limitation","source_url"
"US-only Downloads/IAP","Gossip Harbor","US","Unified estimate","2026-01","Downloads","1.28M","SOURCE/EXTERNAL","Sensor Tower estimate quoted by external analysis","https://www.gamigion.com/chinese-microfun-taking-28m-a-month-from-western-casual-gaming/"
"US-only Downloads/IAP","Gossip Harbor","US","Unified estimate","2026-01","Revenue","$28.6M","SOURCE/EXTERNAL","Sensor Tower estimate quoted by external analysis","https://www.gamigion.com/chinese-microfun-taking-28m-a-month-from-western-casual-gaming/"
"US-only Downloads/IAP","Gossip Harbor","US","AdMapix","2026-08-19 pull","Downloads","758,507","SOURCE/EXTERNAL","US estimate; provider period not assumed monthly","https://www.admapix.com/blog/ad-intelligence/gossip-harbor-ad-strategy-2026"
"US-only Downloads/IAP","Township","US","AdMapix","2026-08-19 pull","Downloads","850,227","SOURCE/EXTERNAL","US estimate; provider period not assumed monthly","https://www.admapix.com/blog/ad-intelligence/township-ad-strategy-2026"
"paid/organic/source mix","Gossip Harbor","Scope unspecified","Sensor Tower analyst","Past 90 days reported Mar-2026","Paid display share of downloads","82.9%","SOURCE/ANALYST","Geography not explicit for this percentage","https://www.linkedin.com/posts/samuelaune_mobilegaming-gamingindustry-gamemarketing-activity-7439717195259162625-k74Q"
"ROAS/ARPU","My Perfect Hotel","US","Android / Unity Ads","Mar→Oct 2025 comparison, published 2026","Scale / D7 ROAS / D7 ARPU","2.2x / +19% / +50%","SOURCE/PARTNER","Unity network only; not total-product ROAS","https://gw-prd.hexagon.unity.com/resources/saygames"
"ROAS/Retention","Township","US","iOS / Unity Ads","D28 campaign","D28 ROAS / retention / ARPU","+14% / ~+38% / 2.4x","SOURCE/PARTNER","Campaign cohort vs concurrent D7 baseline","https://web-stg.hexagon.unity.com/cn/resources/playrix_vector"
"Retention/ROAS","Office Cat","South Korea","Playio","May 2024 campaign","D1/D7/D14 / D30 ROAS","69% / 60% / 50% / 209%","SOURCE/PARTNER","Rewarded-UA; non-US","https://playioads.oopy.io/88afac68-0540-46ce-832a-363ca3749dc4"
"CVR/Retention/ROAS","Office Cat","Japan","Playio","Japan campaign","CVR/D1/D3/D7 / D30 ROAS","59% / 56% / 43% / 33% / 234%","SOURCE/PARTNER","Non-US Playio campaign","https://playioads.oopy.io/1816d677-dbc8-80a4-886c-e03bb7adeabc"
"Event participation","My Perfect Hotel","Event audience","Barbie LiveOps","As of 2026-06-12","Completed event","700K+ players","SOURCE/FIRST-PARTY-EXEC","No payer breakdown","https://gamesbeat.com/why-saygames-teamed-up-with-barbie-for-my-perfect-hotels-first-third-party-ip-integration-exclusive/"
"Team size","Hay Day","Global title team","Supercell","2026-06-18","Team size","60+","SOURCE/FIRST-PARTY","Current title-team scale; detailed functional split incomplete","https://supercell.com/en/news/nothing-bad-happens-in-hay-day/"
"Team size","Township","Global title team","Playrix","reported 2023","Team size","~130 (from ~20 at creation)","SOURCE/INTERVIEW","Historical, not 2026 current","https://mobilegamer.biz/playrixs-township-is-10-and-still-growing-after-2-1bn-revenue-600m-downloads/"
"US weekly KPI","Gossip Harbor","US","Unified estimate","Q4 2025 final week","Downloads / Revenue / Active users","~247K / ~$8.2M / >1.2M","SOURCE/EXTERNAL/US-DATED","Weekly dated evidence; not current monthly; AU != DAU","https://sensortower.com/blog/2025-q4-unified-top-5-drama-games-revenue-us-602160ea241bc16eb8940bf3"
"US weekly KPI","Township","US","Unified estimate","Q4 2025 final week","Downloads / Revenue / Active users","~368K / ~$6.2M / ~2.2M","SOURCE/EXTERNAL/US-DATED","Weekly dated evidence; not current monthly; AU != DAU","https://sensortower.com/blog/2025-q4-unified-top-5-tycoon-games-units-us-602ae798241bc16eb86ec5ed"
"US weekly KPI","Hay Day","US","Unified estimate","Q4 2025 final week","Downloads / Revenue / Active users","peak 53.9K / ~$1.4M / ~1.5M","SOURCE/EXTERNAL/US-DATED","Revenue early-Dec peak ~1.6M; AU != DAU","https://sensortower.com/blog/2025-q4-unified-top-5-tycoon-games-units-us-602ae798241bc16eb86ec5ed"
"US weekly KPI","My Perfect Hotel","US","Unified estimate","Q4 2025 final week","Downloads / Revenue / Active users",">152K / ~$56K / >613K","SOURCE/EXTERNAL/US-DATED","Weekly dated evidence; AU != DAU","https://sensortower.com/blog/2025-q4-unified-top-5-business-games-units-us-6023dfa3241bc16eb8392c45"
"US weekly KPI","Office Cat","US","Unified estimate","Q3 2025 final week","Downloads / Revenue / Active users","~11.3K / ~$40.9K / ~96.2K","SOURCE/EXTERNAL/US-DATED","Weekly dated evidence; AU != DAU","https://sensortower.com/blog/2025-q3-unified-top-5-cat%20games-revenue-us-608810b928293296047965a0"
