Requirement,Status,Coverage_Maturity,File,Coverage,Limitation,Next_Action,Evidence_Needed
Market/KPI,PARTIAL,HIGH,06_ua_liveops/HEARTOPIA_US_CURRENT_STORE_MONETIZATION_SOCIAL_v0.1_2026-09-26.csv,"Current US store/rating/rank plus global Android scale context","No matched US monthly downloads/IAP, DAU or payer","Recover same-scope US monthly title KPI","US D/IAP + DAU/payer"
Art/Visual,PARTIAL,MEDIUM-HIGH,02_art_style/PRIORITY8_CURRENT_VISUAL_FRAME_INDEX_v0.4_2026-09-25.csv,"Existing Heartopia visual coverage retained","No new annotated visual pack","Capture current US store/event screens","3–8 annotated screens"
Core Gameplay,PARTIAL,HIGH,06_ua_liveops/HEARTOPIA_LAUNCH_UA_CREATIVE_ARCHITECTURE_v0.1_2026-09-26.csv,"Launch creatives show daily-life core, customization and creator framing","Exact US first-30s build incomplete","Timestamp current build","T+0→30s US device/video"
FTUE,PARTIAL,MEDIUM-HIGH,03_gameplay/PRIORITY8_CURRENT_ONBOARDING_PROGRESSION_RECOVERY_v0.5_2026-09-25.csv,"Existing onboarding coverage retained","Exact T+0→30m and D1/D3/D7/D14 incomplete","Capture current session","Timed unlock/offer/social exposure"
Progression/Meta/Side,PARTIAL,HIGH,06_ua_liveops/HEARTOPIA_CLIENT_SERVER_LIVEOPS_CADENCE_v0.1_2026-09-26.csv,"Friend Styling, Party, Exhibition, guild sign-in, collab board/exchange and per-friend progress","Unlock/participation distributions unavailable","Map live-account dependencies","Unlock + participation"
Economy/Monetization,PARTIAL,HIGH,06_ua_liveops/HEARTOPIA_US_CURRENT_STORE_MONETIZATION_SOCIAL_v0.1_2026-09-26.csv,"US Heart Diamond ladder, memberships and event/pass/exhibition context","Offer triggers, segments, pity, frequency and conversion unavailable","Capture in-game offer route","Trigger/price/pity/segment/conversion"
LiveOps/Event Calendar,PARTIAL,HIGH,06_ua_liveops/HEARTOPIA_CLIENT_SERVER_LIVEOPS_CADENCE_v0.1_2026-09-26.csv,"Client-vs-service cadence plus Sep2/Sep23 maintenance and late-Sep activation sequence","Participation and preload/config architecture not public","Trace each event to activation surface","Start/end + participation + activation mechanism"
UA/Creative/Promotion,PARTIAL,HIGH,06_ua_liveops/HEARTOPIA_LAUNCH_UA_CREATIVE_ARCHITECTURE_v0.1_2026-09-26.csv,"Staged launch, ~8K creative scale, 97.33% video, vertical format and 3 pillars","Global-secondary launch mix; no US spend/source mix","Recover US creative/media performance","US paid/organic/web + spend/CPI/CTR/CVR"
Reviews/Versions,PARTIAL,HIGH,06_ua_liveops/HEARTOPIA_US_CURRENT_STORE_MONETIZATION_SOCIAL_v0.1_2026-09-26.csv,"Current US store rating/version plus recent global review-theme summary","No exact current review-by-version corpus","Acquire exact review export","Timestamp + rating + version + review ID"
Trend/Cause,PARTIAL,HIGH,06_ua_liveops/HEARTOPIA_LAUNCH_UA_CREATIVE_ARCHITECTURE_v0.1_2026-09-26.csv,"Launch UA and current event evidence expand crosscheck inventory","No matched current US monthly KPI anomaly/source mix","No E-level promotion in this run","US KPI + source/event/review timing"
Production Burden,PARTIAL,HIGH,06_ua_liveops/HEARTOPIA_CLIENT_SERVER_LIVEOPS_CADENCE_v0.1_2026-09-26.csv,"Server/service config burden, social/UGC/moderation state and 3.9GB client footprint","Team size, asset-hours and QA/support staffing unavailable","Separate client, config, backend/social and support cost","Headcount + asset-hours + QA/moderation/support"
Benchmark-by-Objective,DONE,HIGH,09_reports/BENCHMARK_BY_OBJECTIVE_v3.1_2026-09-26.csv,"Adds LiveOps decoupling, launch creative architecture, monetization breadth, social operations and release planning","US performance telemetry incomplete","Maintain by objective","US source/KPI + event participation"
Ops Cat Product Translation,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v3.9_2026-09-26.html,"Adds data-driven event config architecture and 3-pillar launch creative test","Needs own backend/config and US creative telemetry","Prototype event engine + US creative pillar test","Release frequency + event QA + CTR/CVR/D1/D7"
US/Global,PARTIAL,HIGH,09_reports/SIMS_FULL_COMPETITOR_INTELLIGENCE_ATLAS_v3.9_2026-09-26.html,"US-first current App Store evidence; launch UA and Android scale explicitly Global-secondary","US monthly KPI/source mix missing","Keep scope labels separate","US matched provider/MMP data"
Evidence/Status Audit,DONE,HIGH,09_reports/STATUS_AUDIT_v3.9_2026-09-26.csv,"Formal taxonomy compliant","Material gaps remain","Update every release","Source-level evidence"
