product,frame_id,source_type,source_url,visual_role,camera_composition,color_light_ui,production_burden,what_to_learn,risk,status
My Perfect Hotel,MPH-01,"OBSERVED official App Store screenshot via MWM","https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/d3/40/10/d340100c-3fd1-2e74-aed3-40d5f57b10a2/1290x2796_AppStore_03_.png/471x1024.webp","IP/theme ownership","Top-down portrait; strong lane/counter readability","Extreme pink/teal; medium-high UI; clear resource rail","Medium; same core with themed environment","Refresh ownership fantasy without changing core service grammar","Theme density can overwhelm early readability if copied blindly","OBSERVED"
My Perfect Hotel,MPH-02,"OBSERVED official App Store screenshot via MWM","https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/58/47/8e/58478e8e-0cb8-eac9-e5b8-8e5416accb30/1290x2796_AppStore_07_.png/471x1024.webp","LiveOps/event set piece","Top-down portrait; pool amenity as large focal object","Bright high saturation; dense guests/confetti","Medium; event skin + props + characters","One large set piece can visually sell an event","High visual density; event should not hide interaction zones","OBSERVED"
My Perfect Hotel,MPH-03,"OBSERVED official App Store screenshot via MWM","https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/ca/fa/8a/cafa8a03-4eb3-ee32-263e-7054086c975c/1290x2796_AppStore_01_.png/471x1024.webp","Core under environment reskin","Top-down portrait; service stations/queue icons remain dominant","Cool sci-fi palette; medium UI density","Medium-low incremental burden","Use environment/theme variety before adding new mechanics","Assume reskin alone creates long-term depth","OBSERVED"
Office Cat,OC-01,"OBSERVED official App Store screenshot via MWM","https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/2b/4e/e7/2b4ee7e9-fb7c-bdb8-47c6-c74c52dff1f4/2.jpg/471x1024.webp","Reusable workstation module","Isometric cutaway; repeated desk grid","Pastel; heavy top/bottom rails; tiny silhouettes","Low-medium; strong module reuse","Repeat room grammar and differentiate by function/character","Notification rail can become visually noisy","OBSERVED"
Office Cat,OC-02,"OBSERVED official App Store screenshot via MWM","https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/fe/df/be/fedfbe56-44ec-7a0b-72c4-828004c0769c/5.jpg/471x1024.webp","Zone variation","Isometric cutaway; production + lounge in one shell","Soft pastel; modular props; persistent rails","Medium; prop swaps > new environment pipeline","Use functional props/idle animations to multiply content","Pure prop swaps without ownership meaning can feel repetitive","OBSERVED"
Office Cat,OC-03,"OBSERVED official App Store screenshot via MWM","https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/e4/30/d5/e430d560-591a-0c14-158d-410c67cd03c4/3.jpg/471x1024.webp","Mixed office zones","Isometric; work/leisure/bathroom/corridor coexist","Moderate scene density; high UI rail density","Medium; high reuse","High content density from reusable room kits","Too many simultaneous alert surfaces for early session","OBSERVED"
Big Farm Homestead,BFH-01,"OBSERVED official App Store screenshot via MWM","https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/d9/2c/71/d92c716d-2edc-4634-f899-7444db647fb1/1ph.jpg/471x1024.webp","Persistent owned farm","Wide isometric landscape; fields/buildings/roads legible together","Natural warm palette; low UI footprint vs world","Heavy but modular environment","Let the owned space itself visualize progression","Heavy world scope before core PMF","OBSERVED"
Big Farm Homestead,BFH-02,"OBSERVED official App Store screenshot via MWM","https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/b4/d1/02/b4d10219-904a-4b8d-9996-829e5080dd85/3ph.jpg/471x1024.webp","Level-up/unlock communication","Centered reward panel; unlocked items shown as cards","Clean UI; high information clarity","Low; UI/content card reuse","Tell players exactly what changed on level-up","Number-only progression with unclear new value","OBSERVED"
Big Farm Homestead,BFH-03,"OBSERVED official App Store screenshot via MWM","https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/89/32/49/893249ed-cba6-4dc1-4fee-d705b81fa02d/2ph.jpg/471x1024.webp","NPC quest tied to production","NPC portrait + concrete task list + rewards","Readable task UI; background world visible","Low-medium narrative wrapper on existing systems","Generate story quests from core production actions","Bespoke quest mechanics for every story beat","OBSERVED"
The Cozy Florist,CF-01,"OBSERVED official App Store screenshot via MWM","https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/73/06/28/730628f9-dd3a-86bd-9add-2112750cd110/_U5546_U5e971.jpg/471x1024.webp","Niche garden identity","Portrait garden scene; greenhouse + beds + path","Bright warm greens; low UI; high floral density","Medium environment burden","Strong one-second category identity from flowers/garden","Generic pastel if material/detail quality drops","OBSERVED"
The Cozy Florist,CF-02,"OBSERVED official App Store screenshot via MWM","https://is1-ssl.mzstatic.com/image/thumb/PurpleSource221/v4/5e/bc/be/5ebcbe5d-0d1c-fb2c-11e5-7920643e08fc/_U5546_U5e973.jpg/471x1024.webp","Before/after transformation","Diagonal split; same plot before and after","High contrast ruin→lush color","Low-medium; same scene assets with state variants","Excellent UA grammar for Ops Cat transformation","Overpromise if installed core cannot reproduce quickly","OBSERVED"
The Cozy Florist,CF-03,"OBSERVED official App Store screenshot via MWM","https://is1-ssl.mzstatic.com/image/thumb/PurpleSource211/v4/1d/a1/13/1da11367-78bf-6f67-57c0-75c745ca0e52/_U5546_U5e975.jpg/471x1024.webp","Promotion / real-flower reward","Real bouquet photos inside stylized frame","High emotional contrast with game art","Medium-heavy marketing/fulfillment burden","Physical reward can be a promotion layer","Do not present real-world reward as core gameplay; rules/eligibility must be explicit","OBSERVED"
