title,visible_window,family,mechanic,monetization_or_reward,social_crm,evidence_label,source,decision_read,gap
County Fair Tournament,Recurring in 2026; Sep21-Sep28 current cycle,Guild tournament,Shared task pool → guild points → leagues/rank,Rank rewards / progression,Guild cooperation,FIRST-PARTY BLOG + CURRENT GUIDE,https://blog.ggs-bf2.com/web/en.html,Competitive layer reuses normal production/order work instead of new core,Participation / payer lift TBD
Guild Tournament,Recurring in 2026; Sep14 current cycle,Guild tournament,Team tasks → points/rank,Rewards,Guild cooperation,FIRST-PARTY BLOG,https://blog.ggs-bf2.com/web/en.html,Alternating tournament schedule supports recurring social competition,Participation / rank distribution TBD
Player Tournament,Recurring in 2026; Aug31 visible cycle,Solo tournament,Complete tasks → ranking,Rewards,Solo competitive loop,FIRST-PARTY BLOG,https://blog.ggs-bf2.com/web/en.html,Same task/ranking grammar can support solo and guild variants,Participation TBD
Deepwoods Festival / Deepwoods Pass,Sep14-Oct12 2026,4-week Festival Pass,Daily quests + seasonal tasks → pass progression,Exclusive rewards / Tree Frame / Squirrel profile picture,Theme chosen by social-community vote,FIRST-PARTY BLOG + CURRENT US STORE,https://blog.ggs-bf2.com/web/en.html | https://apps.apple.com/us/app/big-farm-homestead/id6742455668,Community vote feeds a repeatable pass engine,Pass conversion / completion TBD
Dino Drama / Dino Dig,Recurring; Sep21 2026 current cycle,Dig / collection event,Barge/Train orders → Pickaxes → fossil digging / dinosaur reward,Exclusive themed reward,N/A,FIRST-PARTY BLOG + CURRENT US STORE,https://blog.ggs-bf2.com/web/en.html | https://apps.apple.com/us/app/big-farm-homestead/id6742455668,Order engine funds a themed dig/collection side event,Participation / economy impact TBD
Friends & Family Photo Album,Starts Aug31 2026,Collection / memory album,Collect polaroids / complete sets / character stories,Grand prize / collection rewards,Memory + character relationship,FIRST-PARTY BLOG + CURRENT US STORE,https://blog.ggs-bf2.com/web/en.html | https://apps.apple.com/us/app/big-farm-homestead/id6742455668,Collection engine adds narrative meaning without changing core production,Drop rate / duplicate economy / completion TBD
Fireworks Festival,Aug 2026 Anniversary update,Anniversary / collection,Collect Firework boxes around Homestead,Anniversary rewards + exclusive decoration,1st Anniversary community celebration,US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/big-farm-homestead/id6742455668,World-collection wrapper can support milestone celebration,Exact dates / participation TBD
1st Anniversary Season Pass,Aug 2026,Season Pass,Pass progression during anniversary month,Seasonal paid/free rewards,Anniversary theme,US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/big-farm-homestead/id6742455668,Pass engine is reusable across themed seasons,Price / conversion TBD
Crab Control Event,14-day challenge; Jun/Jul 2026 visible,Resource collection / exchange,Collect invasive crabs on shore → deliver to shelter → event coins,Event coins → rewards,Lake-restoration story context,US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/big-farm-homestead/id6742455668,Environmental story gives a simple collect/deliver engine narrative meaning,Participation / reward economy TBD
Vacation Vibes Festival,Jul 2026,4-week Festival Pass,Festival tasks → pass progression,Exclusive season rewards,N/A,US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/big-farm-homestead/id6742455668,Theme reskin over the same long season-pass engine,Conversion / completion TBD
