product_family,source_type,market,platform,title,url,published_or_crawled,use_for,evidence_strength,copyright_handling,status,notes
Office Cat,gameplay_video,Global,Android,"Office Cat: Idle Tycoon Game (No Commentary Android Game Gameplay)",https://www.youtube.com/watch?v=hO2zSJiupxo,2024-08-22,"FTUE/core/UI/upgrade flow",PUBLIC_VIDEO_REFERENCE,"link/timestamp only; do not rehost full video",READY,"Useful for early-loop capture; current build should still be checked on device"
Office Cat,gameplay_video,Global,Android/iOS,"Office Cat Idle Tycoon Game Gameplay Walkthrough Android iOS",https://www.youtube.com/watch?v=-PsBxrRKfCM,2024-07-31,"Core/meta visual reference",PUBLIC_VIDEO_REFERENCE,"link/timestamp only; do not rehost full video",READY,"Creator explicitly says do not reupload"
Office Cat,official_store,US,iOS,"Office Cat: Idle Tycoon Games App Store",https://apps.apple.com/us/app/office-cat-idle-tycoon-games/id6471960010,2026-09-24,"official screenshots/store promise/version",FIRST_PARTY_STORE,"link to source; use only permitted screenshots/annotations",READY,"US-first store evidence"
Office Cat,official_store,Global,Android,"Office Cat Google Play",https://play.google.com/store/apps/details?id=com.tree.idle.cat.office,2026-09-24,"trailer/screenshots/events/current description",FIRST_PARTY_STORE,"link to source",READY,"Current events/offers visible"
My Perfect Hotel,gameplay_video,Global,YouTube Playables,"My Perfect Hotel - YouTube Playables Gameplay Part 1",https://www.youtube.com/watch?v=DFvBMcY09NY,2025-10-31,"D0 action/core/readability",PUBLIC_VIDEO_REFERENCE,"link/timestamp only; do not rehost full video",READY,"No-commentary gameplay; use for action sequence, not mobile monetization parity"
My Perfect Hotel,official_store,US,iOS,"My Perfect Hotel App Store",https://apps.apple.com/us/app/my-perfect-hotel/id1635760774,2026-09-24,"official screenshots/store promise/reviews",FIRST_PARTY_STORE,"link to source",READY,"US listing; current product promise"
Big Farm Homestead,gameplay_video,Global,Mobile,"Big Farm: Homestead Gameplay Walkthrough",https://www.youtube.com/watch?v=YHrcYNfstUA,2026-03-08,"FTUE/core/story/production/expansion",PUBLIC_VIDEO_REFERENCE,"link/timestamp only; do not rehost full video",READY,"Good for long-form system mapping; validate current version differences"
Big Farm Homestead,official_store,US,iOS,"Big Farm Homestead App Store",https://apps.apple.com/us/app/big-farm-homestead/id6742455668,2026-09-24,"screenshots/events/version history",FIRST_PARTY_STORE,"link to source",READY,"Strong US event/version evidence"
Big Farm Homestead,official_store,Global,Android,"Big Farm Homestead Google Play",https://play.google.com/store/apps/details?id=com.newmoonproduction.bigfarmhomestead,2026-09-24,"trailer/screenshots/current event/offer surfaces",FIRST_PARTY_STORE,"link to source",READY,"Current anniversary messaging visible"
The Cozy Florist,gameplay_video,Global,Mobile,"The Cozy Florist - Gameplay walkthrough",https://www.youtube.com/watch?v=Dglh6Rjx90c,2026-02-11,"core/garden/shop/social visual flow",PUBLIC_VIDEO_REFERENCE,"link/timestamp only; do not rehost full video",READY,"Useful for visual/core study"
The Cozy Florist,official_store,US,iOS,"The Cozy Florist App Store",https://apps.apple.com/us/app/the-cozy-florist/id6754878717,2026-09-24,"official screenshots/store promise/events",FIRST_PARTY_STORE,"link to source",READY,"US-first store evidence"
The Cozy Florist,official_store,Global,Android,"The Cozy Florist Google Play",https://play.google.com/store/apps/details?id=com.riftsky.mhg.gb.gp,2026-09-24,"screenshots/events/current product description",FIRST_PARTY_STORE,"link to source",READY,"Current story-series event visible"
