product_family,market_scope,evidence_class,gate_or_milestone,requirement_or_observation,system_unlocked_or_effect,source,status,ops_cat_read
My Perfect Hotel,Global gameplay/public,OBSERVED-VIDEO,Part 1 tutorial source,"Fresh Part 1 Tutorial & Highlight video published 2026-08-01",D0 service loop evidence source,https://www.youtube.com/watch?v=vZdra_Xf97E,SOURCE_LOCATED,"Normalize to T+ milestones; copy D0 clarity, not forced-ad pressure"
Office Cat,Global gameplay/public,OBSERVED-VIDEO,Part 1 walkthrough,"Part 1 and Level 1-11 walkthrough publicly available",Early office/company progression evidence source,https://www.youtube.com/watch?v=ogOWonHUsTA,SOURCE_LOCATED,"Normalize first company/room/power/offer timestamps"
Office Cat,External guide,OBSERVED-EXTERNAL-GUIDE,Building 1→2,"Lv50 + 800000 funds",Next building,https://strat-vault.com/en/explanation-and-strategy-guide-for-each-building-in-the-area/,PARTIAL_VALIDATION,"Modular gate grammar; avoid number-only progression"
Office Cat,External guide,OBSERVED-EXTERNAL-GUIDE,Building 2→3,"Lv100 + 19200000 funds",Next building,https://strat-vault.com/en/explanation-and-strategy-guide-for-each-building-in-the-area/,PARTIAL_VALIDATION,"Financial wall appears quickly"
Office Cat,External guide,OBSERVED-EXTERNAL-GUIDE,Building 3→4,"Lv110 + 144000000 funds",Next building,https://strat-vault.com/en/explanation-and-strategy-guide-for-each-building-in-the-area/,PARTIAL_VALIDATION,"Progression mostly company/facility upgrades"
Office Cat,External guide,OBSERVED-EXTERNAL-GUIDE,Building 4→5,"Lv130 + 2400000000 funds",Next building,https://strat-vault.com/en/explanation-and-strategy-guide-for-each-building-in-the-area/,PARTIAL_VALIDATION,"Explicit financial wall; do not copy without cohort proof"
Office Cat,External guide,OBSERVED-EXTERNAL-GUIDE,Building 5→6,"Lv210 + 10800000000 funds",Next building,https://strat-vault.com/en/explanation-and-strategy-guide-for-each-building-in-the-area/,PARTIAL_VALIDATION,"Large economy wall; monetization pressure risk"
Office Cat,External guide,OBSERVED-EXTERNAL-GUIDE,Building 6→next area,"Lv300",Next area,https://strat-vault.com/en/explanation-and-strategy-guide-for-each-building-in-the-area/,PARTIAL_VALIDATION,"Use modular area cadence, not excessive grind"
Big Farm Homestead,First-party blog,OBSERVED-FIRST-PARTY,Early-access progression cap,"Level 7",Initial available progression cap,https://blog.ggs-bf2.com/web/en.html,OBSERVED,"Base farm loop precedes broader region/social breadth"
Big Farm Homestead,First-party blog,OBSERVED-FIRST-PARTY,Golden Hills,"Level 8",Second region / adventure expansion,https://blog.ggs-bf2.com/web/en.html,OBSERVED,"Second area can follow proof of first ownership loop"
Big Farm Homestead,First-party blog,OBSERVED-FIRST-PARTY,Community Island / guild,"Level 12",Guild/community system,https://blog.ggs-bf2.com/web/en.html,OBSERVED,"Strong evidence for social-after-ownership staging"
The Cozy Florist,Global gameplay/public,OBSERVED-VIDEO,Part 1 walkthrough,"Part 1 public walkthrough + continuing mission series",Garden/shop mission spine,https://www.youtube.com/watch?v=g9bw6N8TZAA,SOURCE_LOCATED,"Normalize mission 1-early social/collection exposure"
The Cozy Florist,External guide,OBSERVED-EXTERNAL-GUIDE,Boutique / outfit collection,"Level 10",Boutique + outfit collection + cosmetic meta,https://grindnstrat.com/how-to-change-outfits-in-the-cozy-florist/,PARTIAL_VALIDATION,"Delay fashion/cosmetic breadth until core ownership exists"
