date,source_type,title,url,what_it_supports
2026-09-24,AppMagic summary,Mobile Casual Games H1 2026,https://gamedevreports.substack.com/p/appmagic-mobile-casual-games-in-h1,Simulation/Farming/LifeSim/TimeManagement market and Heartopia/HayDay/CozyFlorist/BigFarm data
2026-09-24,Google Play,Heartopia,https://play.google.com/store/apps/details?id=com.xd.xdtglobal.gp,10M+ downloads/store rating
2026-09-24,Google Play,Good Pizza Great Pizza,https://play.google.com/store/apps/details?id=com.tapblaze.pizzabusiness,100M+ downloads/4.7 rating
2026-09-24,Google Play,My Perfect Hotel,https://play.google.com/store/apps/details?id=com.master.hotelmaster,100M+ downloads
2026-09-24,Google Play,Eatventure,https://play.google.com/store/apps/details?id=com.hwqgrhhjfd.idlefastfood,50M+ downloads
2026-09-24,Google Play,Office Cat,https://play.google.com/store/apps/details?id=com.tree.idle.cat.office,10M+ downloads/4.6 rating
2026-09-24,Google Play,Rent Please Landlord Sim,https://play.google.com/store/apps/details?id=com.shimmergames.tenants.gp,10M+ downloads/4.4 rating
2026-09-24,Google Play,Resortopia,https://play.google.com/store/apps/details?id=global.hotel.twgame,5M+ downloads/4.5 rating
2026-09-24,Google Play,Animal Restaurant,https://play.google.com/store/apps/details?id=droidhang.twgame.restaurant,10M+ downloads/4.7 rating
2026-09-24,Google Play,Cat Snack Bar,https://play.google.com/store/apps/details?id=com.tree.idle.catsnackbar,10M+ downloads/4.5 rating
2026-09-24,Google Play,The Cozy Florist,https://play.google.com/store/apps/details?id=com.riftsky.mhg.gb.gp,1M+ downloads/4.7 rating
2026-09-24,Google Play,Big Farm Homestead,https://play.google.com/store/apps/details?id=com.newmoonproduction.bigfarmhomestead,1M+ downloads/4.6 rating
2026-09-24,Google Play,我的花园世界,https://play.google.com/store/apps/details?id=com.jxhy.official,1M+ global GP downloads/features
2026-09-24,MiniGame ranking,2026 May WeChat Mini Game ranking,https://www.yxtsy.com/news/8528.html,QQ经典农场/疯狂水世界/我的花园世界/向往的生活
2026-09-24,MiniGame ranking,2026 Aug Douyin/WeChat mini game analysis,https://www.sohu.com/a/1073833548_121826140,mini-game head titles
2026-09-24,MiniGame ranking,Douyin bestsellers 2026-09-23,https://www.momorank.com/douyin/rankings/bestseller,疯狂水世界/向往的生活/时尚百货城/浪漫餐厅
2026-09-24,UA case,Wild Water World UA/export,https://www.datavoyage.cn/news/detail/217.html,mini-game to app export/UA
2026-09-24,SteamDB,Top Rated 2026 Life Sim,https://steamdb.info/stats/gameratings/2026/?min_reviews=500&tagid=10235,Fields of Mistria/TCG/Waterpark/Paralives
2026-09-24,SteamDB,Top Rated 2026 Management,https://steamdb.info/stats/gameratings/2026/?min_reviews=500&tagid=12472,TCG/Town to City/Timberborn/Waterpark
2026-09-24,SteamDB,Shop Keeper all-time,https://steamdb.info/stats/gameratings/?tagid=91114,TCG/Tiny Bookshop/ReStory
