surface_or_system,scope,unlock_or_window,mechanic_or_state,evidence_label,source,production_or_product_read,gap
Co-building,US current,Core ownership,"Invite friends to help build dream home",SOURCE / CURRENT US APP STORE,https://apps.apple.com/us/app/heartopia/id6746151928,"Ownership is socialized through shared editing","Conflict/permission/rollback telemetry TBD"
Party Blueprints,Global current,Sep19-Oct9,"Party Club + player-created Party Blueprints",FIRST-PARTY CURRENT,https://steamcommunity.com/app/4025700/announcements/,"UGC becomes LiveOps supply","Creation/moderation/discovery KPI TBD"
Hide & Seek / Parkour Parties,US client,v0.5.5 lineage,"Furniture transformation / player-built obstacle course",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/heartopia/id6746151928,"Shared party framework supports multiple rule sets","Participation/QA burden TBD"
Hot Air Balloon,US client,"DG18; weekends 16:00","Two routes; up to 6 members; weather cancellation",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/heartopia/id6746151928,"Scheduled social event with party/weather state","Attendance/cancellation TBD"
Friend Styling,US client,Friend Lv2,"Real-time styling using friend's wardrobe + chat/emotes + save",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/heartopia/id6746151928,"Cosmetics become synchronous interaction","Usage/abuse/state burden TBD"
Echo of Ancients,Global current,Aug29-Oct10,"Catalog + daily requests + collection + mining + Home Likes",FIRST-PARTY CURRENT,https://steamcommunity.com/app/4025700/announcements/,"Season layers multiple states over life-sim core","Participation/payer uplift TBD"
Rhythm of Nature,Global current,Aug29-Oct10,"7 distinct days face-to-face progress tracked per friend",FIRST-PARTY CURRENT,https://steamcommunity.com/app/4025700/announcements/,"Per-friend persistence multiplies state","Completion TBD"
Sea Lanterns of Sentiment,Global current,Sep25-Oct12,"Craft/buy lanterns; public messages; recent-10 list; timed duration",FIRST-PARTY CURRENT,https://steamcommunity.com/app/4025700/allnews/?l=english,"UGC-lite messaging + timed persistence","Moderation/participation TBD"
Starspell Voyager,Global current,Sep26-Nov28,"3 exhibitions + draws + stub exchange + variants + full-collection reward",FIRST-PARTY CURRENT,https://steamcommunity.com/app/4025700/announcements/,"Collection/gacha tightly coupled to identity/home","Odds/pity/payer mix TBD"
White Snake Journey,Global scheduled,Sep30-Oct26,"Map + Lingzhi + quests + Heart Diamond shortcut + premium tier + exchange",FIRST-PARTY SCHEDULED,https://steamcommunity.com/app/4025700/announcements/,"Free earn + premium + milestones + exchange in one state machine","US availability/conversion TBD"
Client-service split,US + Global service,Aug25-Sep30,"Visible iOS Aug25; Sep2 flash update and Sep23 maintenance activate/schedule later events",CALCULATED + SOURCE,"App Store + Steam official","INFERRED: significant activation via service/config or preloaded assets","Exact delivery architecture undisclosed"
