date,version,visible_release_bundle,evidence_label,source,production_read,guardrail
2026-01-08,33.0.0,"Journey Collection; Christmas/French Passes; two adventures; Greece/China regattas; Ballet School",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/township/id638689075,"Multi-track content train reuses recurring Pass / Adventure / Collection / Regatta / Match-3 / Town-building lanes","Version note does not prove exact first activation date for each sub-surface"
2026-02-02,33.1.0,"Broadway/Carnival Passes; two adventures; Greece/China regattas",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/township/id638689075,"Multi-track content train reuses recurring lanes","Activation timing TBD"
2026-02-18,34.0.0,"Spring Collection; Spring/Easter Passes; two adventures; Easter Island regatta; Science Museum",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/township/id638689075,"Multi-track content train reuses recurring lanes","Activation timing TBD"
2026-02-20,34.0.1,"Spring Collection; Spring/Easter Passes; two adventures; Easter Island regatta; Science Museum",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/township/id638689075,"Multi-track content train reuses recurring lanes","Activation timing TBD"
2026-03-12,34.1.0,"Spring Collection; Spring/Easter Passes; two adventures; Easter Island regatta; Science Museum",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/township/id638689075,"Multi-track content train reuses recurring lanes","Activation timing TBD"
2026-04-01,35.0.0,"Culinary Collection; Celebrity/Culinary Passes; two adventures; Egypt/Japan regattas; Jazz Club/Moroccan Townhouse",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/township/id638689075,"Multi-track content train reuses recurring lanes","Activation timing TBD"
2026-04-20,35.1.0,"Culinary Collection; Celebrity/Culinary Passes; two adventures; Egypt/Japan regattas; Jazz Club/Moroccan Townhouse",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/township/id638689075,"Multi-track content train reuses recurring lanes","Activation timing TBD"
2026-05-14,36.0.2,"Italian/Futuristic Passes; two adventures; Amazon regatta; Concert Hall",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/township/id638689075,"Multi-track content train reuses recurring lanes","Activation timing TBD"
2026-06-08,36.1.0,"Italian/Futuristic Passes; two adventures; Amazon regatta; Concert Hall",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/township/id638689075,"Multi-track content train reuses recurring lanes","Activation timing TBD"
2026-06-24,37.0.0,"Beach Collection; Voyage/Summer Passes; two adventures; Greece/Hawaii regattas; Frogs Match-3 element; Pottery Studio",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/township/id638689075,"Multi-track content train reuses recurring lanes","Activation timing TBD"
2026-08-24,38.1.0,"Harvest Collection; Undersea/Harvest Passes; two adventures; French Riviera regatta; Lure Box; Archery Range",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/township/id638689075,"Multi-track content train reuses recurring lanes","Activation timing TBD"
2026-08-31,38.1.1,"Same Harvest/Undersea package repeated in visible notes",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/township/id638689075,"Multi-track content train reuses recurring lanes","Repeated notes do not prove new activation"
2026-09-15,39.0.0,"Harvest Collection; Undersea/Harvest Passes; UFO expedition; French Riviera regatta; Lure Box; Archery Range",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/township/id638689075,"Multi-track content train reuses recurring lanes","Activation timing TBD"
2026-09-17,39.0.2,"Western/Halloween Passes; two new adventures; Bermuda/Hudson regattas; Stained Glass; Coworking Space/Ancient House",SOURCE / US APP STORE VERSION HISTORY,https://apps.apple.com/us/app/township/id638689075,"Multi-track content train reuses recurring lanes","Activation timing TBD"
SUMMARY,2026-01-08→2026-09-17,"14 visible iOS versions; CALCULATED median gap 19d; mean gap 19.4d",CALCULATED + SOURCE,https://apps.apple.com/us/app/township/id638689075,"A roughly 3-week median client cadence supports several recurring content lanes; one 61-day gap is visible between Jun24 and Aug24","Visible App Store history is not backend/config cadence"
